DbCity,DbMean,DbLowFid,DbHighFid,DbMeanByUS,DbRelByUS,Db_Lat,Db_Log
Db_AK_Anchorage,7,6.6,7.3,10.8,-0.35,61.15175738,-149.845314
Db_AK_Anchorage,11,10.5,11.6,10.8,0.02,61.20438328,-149.8525221
Db_AK_Anchorage,10.6,10.2,11,10.8,-0.02,61.22337238,-149.7233232
Db_AK_Anchorage,7.4,7.1,7.8,10.8,-0.31,61.21716167,-149.7671939
Db_AK_Anchorage,7,6.6,7.3,10.8,-0.35,61.13038003,-149.8452258
Db_AK_Anchorage,8.9,8.5,9.3,10.8,-0.18,61.18391065,-149.8804709
Db_AK_Anchorage,5.3,4.8,5.8,10.8,-0.51,60.96117868,-149.073965
Db_AK_Anchorage,11.6,11.2,11.9,10.8,0.07,61.22486253,-149.8374649
Db_AK_Anchorage,8.1,7.7,8.6,10.8,-0.25,61.19941484,-149.8914349
Db_AK_Anchorage,8.9,8.2,9.6,10.8,-0.18,61.1915444,-149.8522724
Db_AK_Anchorage,5.9,5.4,6.4,10.8,-0.45,61.31037504,-149.5044538
Db_AK_Anchorage,6.7,6.1,7.2,10.8,-0.38,61.14642123,-150.1503754
Db_AK_Anchorage,7.1,6.6,7.5,10.8,-0.34,61.15912229,-149.8715727
Db_AK_Anchorage,7.7,7.2,8.2,10.8,-0.29,61.21028649,-149.8759827
Db_AK_Anchorage,7.5,6.9,8,10.8,-0.31,61.20245784,-149.7631995
Db_AK_Anchorage,6.7,6.2,7.2,10.8,-0.38,61.12541606,-149.8038154
Db_AK_Anchorage,6.7,6.1,7.3,10.8,-0.38,61.26340705,-148.8338659
Db_AK_Anchorage,9.8,9.4,10.3,10.8,-0.09,61.18798692,-149.9055565
Db_AK_Anchorage,6.6,5.9,7.4,10.8,-0.39,61.05624696,-149.705808
Db_AL_Huntsville,9.3,8.5,10.3,10.8,-0.14,34.61275559,-86.53295686
Db_AL_Huntsville,9.7,8.7,10.8,10.8,-0.1,34.68979727,-86.56091911
Db_AL_Birmingham,20.2,19,21.4,10.8,0.87,33.55415741,-86.71672299
Db_AL_Birmingham,13.5,12.5,14.5,10.8,0.25,33.61594364,-86.65578925
Db_AL_Mobile,13.1,12.2,14,10.8,0.21,30.67797658,-88.060697
Db_AL_Hoover,5.4,5,5.8,10.8,-0.5,33.40451614,-86.78765023
Db_AL_Huntsville,1,1,1,10.8,-0.91,34.67865999,-86.69424823
Db_AL_Tuscaloosa,1,1,1,10.8,-0.91,33.4037171,-87.59501583
Db_AL_Birmingham,1,1,1,10.8,-0.91,33.58592342,-86.83570072
Db_AL_Mobile,19.3,18.2,20.3,10.8,0.79,30.69503233,-88.11408546
Db_AL_Montgomery,6.8,6.2,7.3,10.8,-0.37,32.31045491,-86.15495233
Db_AL_Mobile,15.1,14.2,16,10.8,0.4,30.60325006,-88.09839464
Db_AL_Montgomery,8.6,8,9.2,10.8,-0.2,32.37183842,-86.17078916
Db_AL_Birmingham,22,20.6,23.3,10.8,1.04,33.4953246,-86.85162321
Db_AL_Birmingham,4.2,3.9,4.5,10.8,-0.61,33.42586612,-86.71381936
Db_AL_Tuscaloosa,23.2,21.9,24.4,10.8,1.15,33.19266928,-87.55650845
Db_AL_Mobile,13.8,12.9,14.7,10.8,0.28,30.71425401,-88.18252485
Db_AL_Montgomery,27.6,26.3,28.9,10.8,1.56,32.35873301,-86.31778221
Db_AL_Mobile,12.7,12.1,13.5,10.8,0.18,30.65477527,-88.17004053
Db_AL_Montgomery,15.6,14.7,16.5,10.8,0.44,32.41695213,-86.2694458
Db_AL_Mobile,13.8,13.1,14.5,10.8,0.28,30.63090434,-88.07210666
Db_AL_Birmingham,20.6,18.7,22.5,10.8,0.91,33.59194861,-86.86438407
Db_AL_Mobile,26,24.3,27.5,10.8,1.41,30.72124742,-88.09376462
Db_AL_Birmingham,8.4,7.9,8.9,10.8,-0.22,33.49715956,-86.79174407
Db_AL_Birmingham,14.8,13.9,15.7,10.8,0.37,33.59716231,-86.67667364
Db_AL_Birmingham,16.1,15.3,16.9,10.8,0.49,33.52607483,-86.78303155
Db_AL_Birmingham,18.4,17.3,19.6,10.8,0.7,33.56324496,-86.76404741
Db_AL_Tuscaloosa,9.4,8.5,10.3,10.8,-0.13,33.24475766,-87.53146436
Db_AL_Hoover,9.3,8.4,10.3,10.8,-0.14,33.35063232,-86.77406775
Db_AL_Hoover,10,9.2,11,10.8,-0.07,33.4073892,-86.72085017
Db_AL_Birmingham,21.8,20.5,22.9,10.8,1.02,33.52916049,-86.93464764
Db_AL_Mobile,18.7,17.5,19.7,10.8,0.73,30.66909227,-88.09256241
Db_AL_Tuscaloosa,1,1,1,10.8,-0.91,33.14481133,-87.52931254
Db_AL_Montgomery,7.6,7.1,8.2,10.8,-0.3,32.32839753,-86.14008892
Db_AL_Mobile,7.5,7,8.1,10.8,-0.31,30.67662003,-88.21882423
Db_AL_Mobile,10.7,10,11.4,10.8,-0.01,30.68636911,-88.19819486
Db_AL_Hoover,9.5,8.7,10.5,10.8,-0.12,33.34838995,-86.81944703
Db_AL_Birmingham,8.3,7.8,8.9,10.8,-0.23,33.42446588,-86.88414742
Db_AL_Huntsville,16.6,15.8,17.4,10.8,0.54,34.71784062,-86.60623346
Db_AL_Hoover,8.5,8.1,9,10.8,-0.21,33.37360789,-86.79337503
Db_AL_Mobile,9.3,8.6,10.2,10.8,-0.14,30.70067676,-88.16129017
Db_AL_Montgomery,18.8,17.9,19.6,10.8,0.74,32.35106217,-86.35969144
Db_AL_Mobile,21.2,19.6,22.7,10.8,0.96,30.7890622,-88.0305346
Db_AL_Huntsville,9.4,8.6,10.2,10.8,-0.13,34.60841231,-86.57538811
Db_AL_Birmingham,13.7,12.9,14.5,10.8,0.27,33.62525752,-86.69986104
Db_AL_Birmingham,22.7,21.1,24.4,10.8,1.1,33.46986914,-86.8742906
Db_AL_Huntsville,18.5,17.4,19.6,10.8,0.71,34.76723497,-86.60219006
Db_AL_Birmingham,13.5,12.4,14.7,10.8,0.25,33.61181177,-86.72142215
Db_AL_Mobile,10.8,9.9,11.6,10.8,0,30.6914801,-88.25264972
Db_AL_Birmingham,20.2,19.2,21.1,10.8,0.87,33.52787677,-86.86041617
Db_AL_Mobile,11.6,10.8,12.4,10.8,0.07,30.7052498,-88.18358555
Db_AL_Montgomery,16.2,15,17.2,10.8,0.5,32.33568952,-86.29078703
Db_AL_Montgomery,15.3,14.5,16,10.8,0.42,32.30424732,-86.22407599
Db_AL_Montgomery,13.8,12.5,15,10.8,0.28,32.37943082,-86.30804872
Db_AL_Huntsville,8.6,7.9,9.4,10.8,-0.2,34.74500239,-86.55374518
Db_AL_Hoover,7,6.5,7.7,10.8,-0.35,33.39237929,-86.88337551
Db_AL_Huntsville,8.8,8.3,9.2,10.8,-0.19,34.77912474,-86.57330582
Db_AL_Mobile,8.8,8,9.8,10.8,-0.19,30.6845996,-88.15830754
Db_AL_Huntsville,9.9,9,10.8,10.8,-0.08,34.7097766,-86.55139362
Db_AL_Birmingham,8.3,7.8,8.8,10.8,-0.23,33.47906233,-86.81280631
Db_AL_Montgomery,11.9,11,12.9,10.8,0.1,32.35516192,-86.25765782
Db_AL_Birmingham,1,1,1,10.8,-0.91,33.4345805,-86.72632921
Db_AL_Tuscaloosa,10.4,9.9,10.9,10.8,-0.04,33.17634956,-87.53901939
Db_AL_Mobile,23.4,22,24.8,10.8,1.17,30.71213642,-88.07595396
Db_AL_Huntsville,15.2,14.2,16,10.8,0.41,34.71653761,-86.62989977
Db_AL_Huntsville,17.6,16.6,18.7,10.8,0.63,34.76793016,-86.63467835
Db_AL_Mobile,21,20.1,21.7,10.8,0.94,30.66819805,-88.07696769
Db_AL_Birmingham,20.5,19.6,21.5,10.8,0.9,33.5532051,-86.74298016
Db_AL_Birmingham,8.2,7.6,9.1,10.8,-0.24,33.51409785,-86.74669714
Db_AL_Tuscaloosa,12.5,11.8,13.3,10.8,0.16,33.19453946,-87.46527684
Db_AL_Mobile,10.4,9.6,11.2,10.8,-0.04,30.62395135,-88.21545201
Db_AL_Huntsville,1,1,1,10.8,-0.91,34.6454285,-86.43528487
Db_AL_Montgomery,12.9,12,13.8,10.8,0.19,32.37140995,-86.25508472
Db_AL_Montgomery,11.2,10.5,11.9,10.8,0.04,32.38174568,-86.28182427
Db_AL_Birmingham,19.7,18.8,20.5,10.8,0.82,33.49690186,-86.89077294
Db_AL_Huntsville,8.9,8.2,9.6,10.8,-0.18,34.79009445,-86.78348313
Db_AL_Mobile,21.9,20.8,23.1,10.8,1.03,30.65513006,-88.07774509
Db_AL_Hoover,6.4,5.9,7,10.8,-0.41,33.37149061,-86.81109624
Db_AL_Birmingham,24.9,23.7,26.2,10.8,1.31,33.50940185,-86.8859082
Db_AL_Huntsville,12.5,11.6,13.4,10.8,0.16,34.69154075,-86.57508407
Db_AL_Huntsville,7.3,6.8,7.9,10.8,-0.32,34.73982021,-86.7028565
Db_AL_Tuscaloosa,11.4,10.8,12.1,10.8,0.06,33.18083424,-87.49597801
Db_AL_Huntsville,18.9,17.7,20,10.8,0.75,34.83899448,-86.65935906
Db_AL_Montgomery,18,16.7,19.2,10.8,0.67,32.31866831,-86.28943807
Db_AL_Montgomery,4.6,4.3,4.9,10.8,-0.57,32.40676931,-86.24670208
Db_AL_Huntsville,6.8,6.4,7.3,10.8,-0.37,34.63148164,-86.75692264
Db_AL_Mobile,12.8,12.2,13.5,10.8,0.19,30.66092596,-88.14155015
Db_AL_Hoover,7.9,7.3,8.6,10.8,-0.27,33.37339198,-86.85349009
Db_AL_Birmingham,9,8.4,9.5,10.8,-0.17,33.47499418,-86.83354217
Db_AL_Birmingham,22.2,20.6,23.8,10.8,1.06,33.48571489,-86.83278175
Db_AL_Mobile,14.2,13.5,15,10.8,0.31,30.65555967,-88.15305429
Db_AL_Mobile,13.8,13.1,14.5,10.8,0.28,30.68257783,-88.11448248
Db_AL_Birmingham,9.3,8.7,10.1,10.8,-0.14,33.4989064,-86.78269914
Db_AL_Montgomery,22.8,22.1,23.5,10.8,1.11,32.36846008,-86.33918514
Db_AL_Tuscaloosa,8.2,7.7,8.7,10.8,-0.24,33.18876593,-87.54239145
Db_AL_Montgomery,10.7,10.1,11.4,10.8,-0.01,32.35119843,-86.16429574
Db_AL_Birmingham,16,15.3,16.8,10.8,0.48,33.61829244,-86.68014831
Db_AL_Mobile,7.2,6.6,7.9,10.8,-0.33,30.69863167,-88.13620017
Db_AL_Mobile,9.9,9.1,10.6,10.8,-0.08,30.62677464,-88.19895502
Db_AL_Montgomery,8.8,8.1,9.5,10.8,-0.19,32.31528184,-86.177661
Db_AL_Birmingham,17.7,16.8,18.5,10.8,0.64,33.57016467,-86.66643058
Db_AL_Birmingham,1,1,1,10.8,-0.91,33.59674419,-87.08793969
Db_AL_Birmingham,12.7,11.7,13.7,10.8,0.18,33.66418938,-86.69561707
Db_AL_Mobile,11.2,10.2,12.1,10.8,0.04,30.57616134,-88.14533872
Db_AL_Birmingham,20.4,19.3,21.6,10.8,0.89,33.50596558,-86.87455061
Db_AL_Birmingham,16.5,15.5,17.6,10.8,0.53,33.56500159,-86.71010248
Db_AL_Hoover,7.8,7.3,8.4,10.8,-0.28,33.30458726,-86.88724127
Db_AL_Huntsville,10.1,9.7,10.5,10.8,-0.06,34.72757497,-86.62865291
Db_AL_Huntsville,1,1,1,10.8,-0.91,34.74577746,-86.77396969
Db_AL_Montgomery,21,19.4,22.6,10.8,0.94,32.34070932,-86.33540582
Db_AL_Mobile,7.3,6.6,8,10.8,-0.32,30.67984343,-88.09330518
Db_AL_Montgomery,11.3,10.6,12,10.8,0.05,32.37611483,-86.12160542
Db_AL_Montgomery,20.3,19,21.6,10.8,0.88,32.37201753,-86.30879668
Db_AL_Mobile,18.7,17.9,19.5,10.8,0.73,30.65009859,-88.10009894
Db_AL_Hoover,7.3,6.9,7.7,10.8,-0.32,33.38390166,-86.7952292
Db_AL_Huntsville,18.9,17.9,19.8,10.8,0.75,34.75446961,-86.60285649
Db_AL_Birmingham,23.5,22.5,24.5,10.8,1.18,33.50074394,-86.82707204
Db_AL_Mobile,9.3,8.5,10.2,10.8,-0.14,30.68341309,-88.0744007
Db_AL_Birmingham,22.4,21.1,23.8,10.8,1.07,33.54424046,-86.77491307
Db_AL_Montgomery,23.3,21.6,25,10.8,1.16,32.31521471,-86.37941627
Db_AL_Birmingham,3.4,3.1,3.7,10.8,-0.69,33.44394259,-86.72129369
Db_AL_Mobile,25.1,23.6,26.5,10.8,1.32,30.72731679,-88.11316474
Db_AL_Huntsville,19.8,19,20.6,10.8,0.83,34.75076144,-86.58793188
Db_AL_Huntsville,11.4,10.1,12.8,10.8,0.06,34.68310423,-86.53406627
Db_AL_Birmingham,15.6,14.5,16.7,10.8,0.44,33.51760084,-86.81068875
Db_AL_Birmingham,1,1,1,10.8,-0.91,33.58048452,-86.6301111
Db_AL_Tuscaloosa,12.3,11.3,13.4,10.8,0.14,33.2137806,-87.44423234
Db_AL_Montgomery,9.9,9.4,10.3,10.8,-0.08,32.361171,-86.28336047
Db_AL_Montgomery,16.7,15.6,17.9,10.8,0.55,32.31612749,-86.24886755
Db_AL_Tuscaloosa,10.1,9.4,10.8,10.8,-0.06,33.15946663,-87.49041697
Db_AL_Huntsville,11.2,10.6,11.7,10.8,0.04,34.81038039,-86.56083867
Db_AL_Montgomery,28.9,27,30.7,10.8,1.68,32.37155556,-86.29158784
Db_AL_Birmingham,19.3,18.4,20.2,10.8,0.79,33.47857078,-86.89000091
Db_AL_Mobile,7.8,7.5,8.2,10.8,-0.28,30.66981534,-88.13709822
Db_AL_Montgomery,1,1,1,10.8,-0.91,32.3016375,-86.0902647
Db_AL_Birmingham,18,16.6,19.4,10.8,0.67,33.54291433,-86.87567829
Db_AL_Tuscaloosa,10.4,9.7,11.1,10.8,-0.04,33.17992806,-87.38376031
Db_AL_Mobile,16.7,15.7,17.6,10.8,0.55,30.58797455,-88.09021692
Db_AL_Huntsville,15.2,14.3,16.2,10.8,0.41,34.76287824,-86.628492
Db_AL_Birmingham,8.3,7.4,9.4,10.8,-0.23,33.50341959,-86.61809834
Db_AL_Birmingham,23,21.7,24.1,10.8,1.13,33.56702939,-86.80055672
Db_AL_Tuscaloosa,23.2,21.8,24.5,10.8,1.15,33.18501798,-87.59422095
Db_AL_Mobile,23.3,21.6,24.9,10.8,1.16,30.67785042,-88.04885532
Db_AL_Huntsville,7.7,7.2,8.3,10.8,-0.29,34.7808033,-86.74097179
Db_AL_Birmingham,23.7,22.2,25.2,10.8,1.19,33.43964436,-86.92487687
Db_AL_Montgomery,12.2,11.3,13.1,10.8,0.13,32.34824166,-86.23289568
Db_AL_Huntsville,10.4,9.4,11.6,10.8,-0.04,34.63659183,-86.55271656
Db_AL_Mobile,24.8,23.1,26.3,10.8,1.3,30.7055497,-88.0663775
Db_AL_Hoover,7.5,6.9,8.3,10.8,-0.31,33.43121367,-86.82287824
Db_AL_Birmingham,19.8,18.7,20.9,10.8,0.83,33.53831532,-86.72704454
Db_AL_Mobile,9.7,9,10.4,10.8,-0.1,30.68277338,-88.18063037
Db_AL_Tuscaloosa,19.3,17.9,20.7,10.8,0.79,33.18264915,-87.61981067
Db_AL_Birmingham,9.2,8.3,10.4,10.8,-0.15,33.48854935,-86.78084302
Db_AL_Birmingham,1,1,1,10.8,-0.91,33.60507426,-86.63167294
Db_AL_Tuscaloosa,8.9,8,9.9,10.8,-0.18,33.27016934,-87.51785264
Db_AL_Hoover,9.8,8.9,10.9,10.8,-0.09,33.43842176,-86.63820025
Db_AL_Montgomery,13.1,12.1,14,10.8,0.21,32.39621251,-86.26615545
Db_AL_Tuscaloosa,15,14.3,15.9,10.8,0.39,33.21330012,-87.50771403
Db_AL_Montgomery,15.9,15.2,16.6,10.8,0.47,32.35405944,-86.39734803
Db_AL_Montgomery,28.1,26.4,29.6,10.8,1.6,32.36213955,-86.32911064
Db_AL_Montgomery,9.6,8.7,10.5,10.8,-0.11,32.29578117,-86.13165849
Db_AL_Huntsville,14.7,13.8,15.5,10.8,0.36,34.74357584,-86.62105795
Db_AL_Birmingham,23.7,22.6,24.7,10.8,1.19,33.4945909,-86.83476394
Db_AL_Huntsville,19.9,18.7,21.3,10.8,0.84,34.77415538,-86.54954934
Db_AL_Mobile,11.8,10.9,12.8,10.8,0.09,30.64346087,-88.14379685
Db_AL_Birmingham,6.3,5.6,7,10.8,-0.42,33.47388616,-86.81464878
Db_AL_Mobile,16.9,15.9,17.9,10.8,0.56,30.70029009,-88.21926191
Db_AL_Birmingham,21.8,20.4,23.1,10.8,1.02,33.53729934,-86.80365905
Db_AL_Montgomery,14.1,13.3,14.9,10.8,0.31,32.40511914,-86.22569299
Db_AL_Tuscaloosa,2.4,2.2,2.5,10.8,-0.78,33.21234925,-87.53871753
Db_AL_Mobile,11.9,11.1,12.8,10.8,0.1,30.71456461,-88.14852912
Db_AL_Birmingham,15.8,14.3,17.3,10.8,0.46,33.46953581,-86.96831739
Db_AL_Mobile,1,1,1,10.8,-0.91,30.74941103,-88.07057647
Db_AL_Birmingham,19.2,17.8,20.6,10.8,0.78,33.59314019,-86.73579305
Db_AL_Tuscaloosa,8.3,7.6,9.1,10.8,-0.23,33.28952273,-87.49558692
Db_AL_Birmingham,15.6,14.6,16.7,10.8,0.44,33.5065714,-86.91959101
Db_AL_Birmingham,22.2,20.8,23.5,10.8,1.06,33.48067088,-86.85086715
Db_AL_Hoover,10.3,9.4,11.3,10.8,-0.05,33.39401852,-86.81474037
Db_AL_Mobile,18.2,17.3,19.1,10.8,0.69,30.69111435,-88.04802225
Db_AL_Tuscaloosa,11.5,10.8,12.2,10.8,0.06,33.1612192,-87.51613652
Db_AL_Birmingham,6.1,5.7,6.5,10.8,-0.44,33.42265931,-86.85086208
Db_AL_Huntsville,10.5,10,10.9,10.8,-0.03,34.68010749,-86.59529738
Db_AL_Montgomery,22.4,20.7,23.9,10.8,1.07,32.33561264,-86.30780247
Db_AL_Huntsville,8.8,7.9,9.7,10.8,-0.19,34.72731921,-86.56737691
Db_AL_Hoover,10.5,9.4,11.7,10.8,-0.03,33.40999055,-86.6692094
Db_AL_Tuscaloosa,15.5,14.4,16.5,10.8,0.44,33.1932758,-87.58328445
Db_AL_Mobile,13.5,12.6,14.5,10.8,0.25,30.73492904,-88.20133037
Db_AL_Mobile,9.6,8.8,10.5,10.8,-0.11,30.65060681,-88.19920104
Db_AL_Tuscaloosa,10.4,9.7,11,10.8,-0.04,33.19486427,-87.50906608
Db_AL_Montgomery,14,13.1,14.9,10.8,0.3,32.3348191,-86.25253073
Db_AL_Montgomery,23.9,22.5,25.2,10.8,1.21,32.33600853,-86.32305246
Db_AL_Huntsville,9.8,8.9,10.9,10.8,-0.09,34.6560828,-86.52895427
Db_AL_Mobile,1,1,1,10.8,-0.91,30.5619464,-88.17578565
Db_AL_Birmingham,10.7,9.7,11.9,10.8,-0.01,33.52009812,-86.72720632
Db_AL_Huntsville,16.6,15.4,17.8,10.8,0.54,34.80497616,-86.61737868
Db_AL_Birmingham,8.1,7.5,8.6,10.8,-0.25,33.5333416,-86.74795661
Db_AL_Birmingham,13.5,12.6,14.5,10.8,0.25,33.61428615,-86.66919964
Db_AL_Huntsville,13.2,12.6,13.9,10.8,0.22,34.69946517,-86.59696238
Db_AL_Tuscaloosa,11.9,11,12.7,10.8,0.1,33.23574552,-87.49972197
Db_AL_Montgomery,11.5,10.9,12.1,10.8,0.06,32.29292053,-86.24617469
Db_AL_Huntsville,1,1,1,10.8,-0.91,34.75495602,-86.72281977
Db_AL_Birmingham,14.7,13.2,16.2,10.8,0.36,33.5571951,-86.8777935
Db_AL_Huntsville,8.9,8.3,9.6,10.8,-0.18,34.65423653,-86.83403931
Db_AL_Hoover,8.3,7.7,8.9,10.8,-0.23,33.42239422,-86.82927262
Db_AL_Tuscaloosa,6.9,6,7.8,10.8,-0.36,33.35336401,-87.54175508
Db_AL_Birmingham,24.8,23,26.6,10.8,1.3,33.51225811,-86.84414399
Db_AL_Hoover,7.4,6.8,8,10.8,-0.31,33.33917835,-86.88884607
Db_AL_Montgomery,8.6,7.9,9.2,10.8,-0.2,32.35265137,-86.29163559
Db_AL_Tuscaloosa,7.9,7.4,8.5,10.8,-0.27,33.16508782,-87.56177804
Db_AL_Mobile,14.9,14,15.9,10.8,0.38,30.73214198,-88.13988404
Db_AL_Montgomery,10.5,9.9,11.1,10.8,-0.03,32.34752326,-86.20852027
Db_AL_Birmingham,14.6,13.8,15.4,10.8,0.35,33.655719,-86.70506983
Db_AL_Mobile,10.7,10,11.5,10.8,-0.01,30.69196092,-88.0738103
Db_AL_Huntsville,10,9,11,10.8,-0.07,34.63506927,-86.52820606
Db_AL_Birmingham,8.4,7.7,9,10.8,-0.22,33.51199027,-86.7694551
Db_AL_Montgomery,5.5,5,5.9,10.8,-0.49,32.38236251,-86.3566609
Db_AL_Huntsville,14.8,14.1,15.6,10.8,0.37,34.7538634,-86.63450272
Db_AL_Birmingham,17.9,16.9,18.8,10.8,0.66,33.55213012,-86.72767595
Db_AL_Mobile,15.3,14.3,16.3,10.8,0.42,30.67739454,-88.07349098
Db_AL_Montgomery,10.2,9.6,10.9,10.8,-0.06,32.37223205,-86.20091671
Db_AL_Tuscaloosa,,,,10.8,-1,33.21949381,-87.6324594
Db_AL_Mobile,18.6,17.6,19.6,10.8,0.72,30.64961028,-88.09227024
Db_AL_Huntsville,10.4,9.4,11.3,10.8,-0.04,34.74608848,-86.512981
Db_AL_Birmingham,8.1,7.6,8.6,10.8,-0.25,33.55428164,-87.05446914
Db_AL_Mobile,16,15.2,16.8,10.8,0.48,30.64429553,-88.1118639
Db_AL_Birmingham,7.3,7,7.6,10.8,-0.32,33.50418576,-86.80337983
Db_AL_Birmingham,13.1,12.2,14.1,10.8,0.21,33.57664564,-86.69655903
Db_AL_Montgomery,11.3,10.6,12,10.8,0.05,32.42075357,-86.21879872
Db_AL_Tuscaloosa,7.7,7,8.5,10.8,-0.29,33.12349833,-87.56324587
Db_AL_Hoover,9.4,8.6,10.3,10.8,-0.13,33.41742141,-86.6452579
Db_AL_Birmingham,,,,10.8,-1,33.63554146,-86.73694669
Db_AL_Tuscaloosa,,,,10.8,-1,33.18736504,-87.27029745
Db_AL_Hoover,8.3,7.5,9.4,10.8,-0.23,33.41869377,-86.72213184
Db_AL_Birmingham,7.9,7.4,8.5,10.8,-0.27,33.48666898,-86.81732628
Db_AL_Mobile,16.9,16.2,17.5,10.8,0.56,30.69103782,-88.02666768
Db_AL_Mobile,11.2,10.3,12,10.8,0.04,30.62708316,-88.13782976
Db_AL_Mobile,,,,10.8,-1,30.83094223,-88.0463571
Db_AL_Birmingham,21.3,20.2,22.3,10.8,0.97,33.52987273,-86.81971917
Db_AL_Tuscaloosa,3.3,3,3.6,10.8,-0.69,33.20311352,-87.5527647
Db_AL_Huntsville,7.6,7.3,8,10.8,-0.3,34.75763158,-86.66923008
Db_AL_Montgomery,12.3,11.2,13.4,10.8,0.14,32.39413693,-86.25138792
Db_AL_Birmingham,20.1,18.6,21.5,10.8,0.86,33.48594521,-86.86969219
Db_AL_Montgomery,21.2,20.4,22.1,10.8,0.96,32.40440281,-86.31341682
Db_AL_Montgomery,10.5,9.7,11.2,10.8,-0.03,32.32837597,-86.2089537
Db_AL_Mobile,9.5,8.7,10.3,10.8,-0.12,30.69225105,-88.08970475
Db_AL_Mobile,17,16.1,18,10.8,0.57,30.58958235,-88.07115395
Db_AL_Huntsville,,,,10.8,-1,34.7976427,-86.67756808
Db_AL_Mobile,1.4,1.3,1.5,10.8,-0.87,30.69516284,-88.18234678
Db_AL_Birmingham,7,6.4,7.6,10.8,-0.35,33.43959752,-86.67359594
Db_AL_Tuscaloosa,25,23.5,26.3,10.8,1.31,33.18858687,-87.56920889
Db_AL_Mobile,11.2,10.5,12,10.8,0.04,30.62277665,-88.17905682
Db_AL_Birmingham,22.4,21.2,23.5,10.8,1.07,33.44880214,-86.88784016
Db_AL_Mobile,33.1,31.1,35.1,10.8,2.06,30.70432698,-88.05214377
Db_AL_Montgomery,11.1,10.2,12.1,10.8,0.03,32.37215195,-86.22845883
Db_AL_Birmingham,26.1,24.2,27.8,10.8,1.42,33.43637868,-86.91289231
Db_AL_Mobile,8.9,8.2,9.7,10.8,-0.18,30.66875653,-88.18081648
