,States,City,Age-adj_preval,PopCountByMM
2739,MN,Brooklyn Park,Age-adjusted prevalence,"75,781"
2752,TX,Brownsville,Age-adjusted prevalence,"175,023"
2822,TX,Bryan,Age-adjusted prevalence,"76,201"
2832,CA,Buena Park,Age-adjusted prevalence,"80,530"
2902,NY,Buffalo,Age-adjusted prevalence,"261,310"
2943,CA,Burbank,Age-adjusted prevalence,"103,340"
2951,VT,Burlington,Age-adjusted prevalence,"42,417"
2962,MA,Cambridge,Age-adjusted prevalence,"105,162"
2996,NJ,Camden,Age-adjusted prevalence,"77,344"
3034,OH,Canton,Age-adjusted prevalence,"73,007"
3079,FL,Cape Coral,Age-adjusted prevalence,"154,305"
3087,CA,Carlsbad,Age-adjusted prevalence,"105,328"
3107,IN,Carmel,Age-adjusted prevalence,"79,191"
3123,TX,Carrollton,Age-adjusted prevalence,"119,097"
3175,CA,Carson,Age-adjusted prevalence,"91,714"
3212,NC,Cary,Age-adjusted prevalence,"135,234"
3249,IA,Cedar Rapids,Age-adjusted prevalence,"126,326"
3270,CO,Centennial,Age-adjusted prevalence,"100,377"
3307,IL,Champaign,Age-adjusted prevalence,"81,055"
3374,AZ,Chandler,Age-adjusted prevalence,"236,123"
3397,SC,Charleston,Age-adjusted prevalence,"120,083"
3453,WV,Charleston,Age-adjusted prevalence,"51,400"
3465,NC,Charlotte,Age-adjusted prevalence,"731,424"
3671,TN,Chattanooga,Age-adjusted prevalence,"167,674"
3728,VA,Chesapeake,Age-adjusted prevalence,"222,209"
3782,WY,Cheyenne,Age-adjusted prevalence,"59,466"
3815,IL,Chicago,Age-adjusted prevalence,"2,695,598"
4604,CA,Chico,Age-adjusted prevalence,"86,187"
4613,CA,Chino,Age-adjusted prevalence,"77,983"
4633,CA,Chino Hills,Age-adjusted prevalence,"74,799"
4650,CA,Chula Vista,Age-adjusted prevalence,"243,916"
4709,IL,Cicero,Age-adjusted prevalence,"83,891"
4817,OH,Cincinnati,Age-adjusted prevalence,"296,943"
4855,CA,Citrus Heights,Age-adjusted prevalence,"83,301"
4884,TN,Clarksville,Age-adjusted prevalence,"132,929"
4897,FL,Clearwater,Age-adjusted prevalence,"107,685"
4948,OH,Cleveland,Age-adjusted prevalence,"396,815"
5112,NJ,Clifton,Age-adjusted prevalence,"84,136"
5152,CA,Clovis,Age-adjusted prevalence,"95,631"
5156,TX,College Station,Age-adjusted prevalence,"93,857"
5282,CO,Colorado Springs,Age-adjusted prevalence,"416,427"
5292,MO,Columbia,Age-adjusted prevalence,"108,500"
5384,SC,Columbia,Age-adjusted prevalence,"129,272"
5419,GA,Columbus,Age-adjusted prevalence,"189,885"
5487,OH,Columbus,Age-adjusted prevalence,"787,033"
5695,CA,Compton,Age-adjusted prevalence,"96,455"
5728,CA,Concord,Age-adjusted prevalence,"122,067"
5745,NC,Concord,Age-adjusted prevalence,"79,066"
5786,FL,Coral Springs,Age-adjusted prevalence,"121,096"
5810,CA,Corona,Age-adjusted prevalence,"152,374"
5835,TX,Corpus Christi,Age-adjusted prevalence,"305,215"
5914,CA,Costa Mesa,Age-adjusted prevalence,"109,960"
5953,RI,Cranston,Age-adjusted prevalence,"80,387"
6106,TX,Dallas,Age-adjusted prevalence,"1,197,816"
6292,CA,Daly City,Age-adjusted prevalence,"101,123"
6302,CT,Danbury,Age-adjusted prevalence,"80,893"
6351,IA,Davenport,Age-adjusted prevalence,"99,685"
6364,FL,Davie,Age-adjusted prevalence,"91,992"
6381,OH,Dayton,Age-adjusted prevalence,"141,527"
6467,MI,Dearborn,Age-adjusted prevalence,"98,153"
6488,IL,Decatur,Age-adjusted prevalence,"76,122"
6516,FL,Deerfield Beach,Age-adjusted prevalence,"75,018"
6530,FL,Deltona,Age-adjusted prevalence,"85,182"
6566,TX,Denton,Age-adjusted prevalence,"113,383"
6690,CO,Denver,Age-adjusted prevalence,"600,158"
6716,IA,Des Moines,Age-adjusted prevalence,"203,433"
6958,MI,Detroit,Age-adjusted prevalence,"713,777"
7086,CA,Downey,Age-adjusted prevalence,"111,772"
7107,MN,Duluth,Age-adjusted prevalence,"86,265"
7177,NC,Durham,Age-adjusted prevalence,"228,330"
7208,TX,Edinburg,Age-adjusted prevalence,"77,100"
7224,OK,Edmond,Age-adjusted prevalence,"81,405"
7270,CA,El Cajon,Age-adjusted prevalence,"99,478"
7296,CA,El Monte,Age-adjusted prevalence,"113,475"
7340,TX,El Paso,Age-adjusted prevalence,"649,121"
7458,IL,Elgin,Age-adjusted prevalence,"108,188"
7496,NJ,Elizabeth,Age-adjusted prevalence,"124,969"
7510,CA,Elk Grove,Age-adjusted prevalence,"153,015"
7536,PA,Erie,Age-adjusted prevalence,"101,786"
7576,CA,Escondido,Age-adjusted prevalence,"143,911"
7627,OR,Eugene,Age-adjusted prevalence,"156,185"
7652,IL,Evanston,Age-adjusted prevalence,"74,486"
7670,IN,Evansville,Age-adjusted prevalence,"117,429"
7715,WA,Everett,Age-adjusted prevalence,"103,019"
7767,CA,Fairfield,Age-adjusted prevalence,"105,321"
7790,MA,Fall River,Age-adjusted prevalence,"88,857"
7798,ND,Fargo,Age-adjusted prevalence,"105,549"
7847,MI,Farmington Hills,Age-adjusted prevalence,"79,740"
7864,AR,Fayetteville,Age-adjusted prevalence,"73,580"
7889,NC,Fayetteville,Age-adjusted prevalence,"200,564"
7938,WA,Federal Way,Age-adjusted prevalence,"89,306"
7949,IN,Fishers,Age-adjusted prevalence,"76,794"
7998,MI,Flint,Age-adjusted prevalence,"102,434"
8009,CA,Folsom,Age-adjusted prevalence,"72,203"
8042,CA,Fontana,Age-adjusted prevalence,"196,069"
8056,CO,Fort Collins,Age-adjusted prevalence,"143,986"
8151,FL,Fort Lauderdale,Age-adjusted prevalence,"165,521"
8178,AR,Fort Smith,Age-adjusted prevalence,"86,209"
8217,IN,Fort Wayne,Age-adjusted prevalence,"253,691"
8421,TX,Fort Worth,Age-adjusted prevalence,"741,206"
8451,CA,Fremont,Age-adjusted prevalence,"214,089"
8548,CA,Fresno,Age-adjusted prevalence,"494,665"
8627,TX,Frisco,Age-adjusted prevalence,"116,989"
8674,CA,Fullerton,Age-adjusted prevalence,"135,161"
8689,FL,Gainesville,Age-adjusted prevalence,"124,354"
8729,CA,Garden Grove,Age-adjusted prevalence,"170,883"
8790,TX,Garland,Age-adjusted prevalence,"226,876"
8830,IN,Gary,Age-adjusted prevalence,"80,294"
8851,NC,Gastonia,Age-adjusted prevalence,"71,741"
8918,AZ,Gilbert,Age-adjusted prevalence,"208,453"
8977,CA,Glendale,Age-adjusted prevalence,"191,719"
9005,AZ,Glendale,Age-adjusted prevalence,"226,721"
9087,TX,Grand Prairie,Age-adjusted prevalence,"175,396"
9108,MI,Grand Rapids,Age-adjusted prevalence,"188,040"
9159,CO,Greeley,Age-adjusted prevalence,"92,889"
9212,WI,Green Bay,Age-adjusted prevalence,"104,057"
9279,NC,Greensboro,Age-adjusted prevalence,"269,666"
9322,NC,Greenville,Age-adjusted prevalence,"84,554"
9349,OR,Gresham,Age-adjusted prevalence,"105,594"
9374,MS,Gulfport,Age-adjusted prevalence,"67,793"
9392,IN,Hammond,Age-adjusted prevalence,"80,830"
9421,VA,Hampton,Age-adjusted prevalence,"137,436"
9468,CT,Hartford,Age-adjusted prevalence,"124,775"
9491,CA,Hawthorne,Age-adjusted prevalence,"84,293"
9534,CA,Hayward,Age-adjusted prevalence,"144,186"
9556,CA,Hemet,Age-adjusted prevalence,"78,657"
9621,NV,Henderson,Age-adjusted prevalence,"257,729"
9645,CA,Hesperia,Age-adjusted prevalence,"90,173"
9656,FL,Hialeah,Age-adjusted prevalence,"224,669"
9733,NC,High Point,Age-adjusted prevalence,"104,371"
9755,OR,Hillsboro,Age-adjusted prevalence,"91,611"
9791,FL,Hollywood,Age-adjusted prevalence,"140,768"
9843,HI,Honolulu,Age-adjusted prevalence,"953,207"
10047,AL,Hoover,Age-adjusted prevalence,"81,619"
10649,TX,Houston,Age-adjusted prevalence,"2,099,451"
10684,CA,Huntington Beach,Age-adjusted prevalence,"189,992"
10732,AL,Huntsville,Age-adjusted prevalence,"180,105"
10819,MO,Independence,Age-adjusted prevalence,"116,830"
10903,IN,Indianapolis,Age-adjusted prevalence,"820,445"
11052,CA,Indio,Age-adjusted prevalence,"76,036"
11073,CA,Inglewood,Age-adjusted prevalence,"109,673"
11111,IA,Iowa City,Age-adjusted prevalence,"67,862"
11134,CA,Irvine,Age-adjusted prevalence,"212,375"
11193,TX,Irving,Age-adjusted prevalence,"216,290"
11243,MS,Jackson,Age-adjusted prevalence,"173,514"
11339,FL,Jacksonville,Age-adjusted prevalence,"821,784"
11450,NC,Jacksonville,Age-adjusted prevalence,"70,145"
11466,NJ,Jersey City,Age-adjusted prevalence,"247,597"
11521,GA,Johns Creek,Age-adjusted prevalence,"76,728"
11564,IL,Joliet,Age-adjusted prevalence,"147,433"
11593,AR,Jonesboro,Age-adjusted prevalence,"67,263"
11624,MI,Kalamazoo,Age-adjusted prevalence,"74,262"
11678,KS,Kansas City,Age-adjusted prevalence,"145,786"
11805,MO,Kansas City,Age-adjusted prevalence,"459,787"
11862,LA,Kenner,Age-adjusted prevalence,"66,702"
11887,WA,Kennewick,Age-adjusted prevalence,"73,917"
11910,WI,Kenosha,Age-adjusted prevalence,"99,218"
11942,WA,Kent,Age-adjusted prevalence,"92,411"
11974,TX,Killeen,Age-adjusted prevalence,"127,921"
11994,TN,Knoxville,Age-adjusted prevalence,"178,874"
12072,IN,Lafayette,Age-adjusted prevalence,"67,140"
12124,LA,Lafayette,Age-adjusted prevalence,"120,623"
12138,LA,Lake Charles,Age-adjusted prevalence,"71,993"
12151,CA,Lake Forest,Age-adjusted prevalence,"77,264"
12209,FL,Lakeland,Age-adjusted prevalence,"97,422"
12215,CA,Lakewood,Age-adjusted prevalence,"80,048"
12257,CO,Lakewood,Age-adjusted prevalence,"142,980"
12310,CA,Lancaster,Age-adjusted prevalence,"156,633"
12329,MI,Lansing,Age-adjusted prevalence,"114,297"
12367,TX,Laredo,Age-adjusted prevalence,"236,091"
12443,FL,Largo,Age-adjusted prevalence,"77,648"
12461,NM,Las Cruces,Age-adjusted prevalence,"97,618"
12595,NV,Las Vegas,Age-adjusted prevalence,"583,756"
12658,FL,Lauderhill,Age-adjusted prevalence,"66,887"
12683,KS,Lawrence,Age-adjusted prevalence,"87,643"
12699,MA,Lawrence,Age-adjusted prevalence,"76,377"
12728,OK,Lawton,Age-adjusted prevalence,"96,867"
12735,UT,Layton,Age-adjusted prevalence,"67,311"
12764,TX,League City,Age-adjusted prevalence,"83,560"
12780,MO,Lee's Summit,Age-adjusted prevalence,"91,364"
12797,TX,Lewisville,Age-adjusted prevalence,"95,290"
12900,KY,Lexington,Age-adjusted prevalence,"295,803"
12957,NE,Lincoln,Age-adjusted prevalence,"258,379"
13018,AR,Little Rock,Age-adjusted prevalence,"193,524"
13042,CA,Livermore,Age-adjusted prevalence,"80,968"
13086,MI,Livonia,Age-adjusted prevalence,"96,942"
13142,CA,Long Beach,Age-adjusted prevalence,"462,257"
13221,CO,Longmont,Age-adjusted prevalence,"86,270"
13251,TX,Longview,Age-adjusted prevalence,"80,455"
13532,CA,Los Angeles,Age-adjusted prevalence,"3,792,621"
14361,KY,Louisville,Age-adjusted prevalence,"597,337"
14456,CO,Loveland,Age-adjusted prevalence,"66,859"
14478,MA,Lowell,Age-adjusted prevalence,"106,519"
14519,TX,Lubbock,Age-adjusted prevalence,"229,573"
14560,VA,Lynchburg,Age-adjusted prevalence,"75,568"
14590,MA,Lynn,Age-adjusted prevalence,"90,329"
14600,CA,Lynwood,Age-adjusted prevalence,"69,772"
14617,GA,Macon,Age-adjusted prevalence,"91,351"
14680,WI,Madison,Age-adjusted prevalence,"233,209"
14739,NH,Manchester,Age-adjusted prevalence,"109,565"
14759,CA,Manteca,Age-adjusted prevalence,"67,096"
14784,TX,McAllen,Age-adjusted prevalence,"129,877"
14799,TX,McKinney,Age-adjusted prevalence,"131,117"
14850,OR,Medford,Age-adjusted prevalence,"74,907"
14868,FL,Melbourne,Age-adjusted prevalence,"76,068"
15010,TN,Memphis,Age-adjusted prevalence,"646,889"
15074,CA,Menifee,Age-adjusted prevalence,"77,519"
15109,CA,Merced,Age-adjusted prevalence,"78,958"
15113,ID,Meridian,Age-adjusted prevalence,"75,092"
15228,AZ,Mesa,Age-adjusted prevalence,"439,041"
15263,TX,Mesquite,Age-adjusted prevalence,"139,824"
15388,FL,Miami,Age-adjusted prevalence,"399,457"
15407,FL,Miami Beach,Age-adjusted prevalence,"87,779"
15425,FL,Miami Gardens,Age-adjusted prevalence,"107,167"
15448,TX,Midland,Age-adjusted prevalence,"111,147"
15476,CA,Milpitas,Age-adjusted prevalence,"66,790"
15557,WI,Milwaukee,Age-adjusted prevalence,"594,833"
15795,MN,Minneapolis,Age-adjusted prevalence,"382,578"
15842,FL,Miramar,Age-adjusted prevalence,"122,041"
15855,TX,Mission,Age-adjusted prevalence,"77,058"
15870,CA,Mission Viejo,Age-adjusted prevalence,"93,305"
15893,MT,Missoula,Age-adjusted prevalence,"66,788"
15920,TX,Missouri City,Age-adjusted prevalence,"67,358"
15996,AL,Mobile,Age-adjusted prevalence,"195,111"
16046,CA,Modesto,Age-adjusted prevalence,"201,165"
16064,AL,Montgomery,Age-adjusted prevalence,"205,764"
16149,CA,Moreno Valley,Age-adjusted prevalence,"193,365"
16173,SC,Mount Pleasant,Age-adjusted prevalence,"67,843"
16190,NY,Mount Vernon,Age-adjusted prevalence,"67,292"
16223,CA,Mountain View,Age-adjusted prevalence,"74,066"
16227,IN,Muncie,Age-adjusted prevalence,"70,085"
16259,TN,Murfreesboro,Age-adjusted prevalence,"108,755"
16289,CA,Murrieta,Age-adjusted prevalence,"103,466"
16316,ID,Nampa,Age-adjusted prevalence,"81,557"
16336,CA,Napa,Age-adjusted prevalence,"76,915"
16373,IL,Naperville,Age-adjusted prevalence,"141,853"
16382,NH,Nashua,Age-adjusted prevalence,"86,494"
16553,TN,Nashville,Age-adjusted prevalence,"601,222"
16589,MA,New Bedford,Age-adjusted prevalence,"95,072"
16605,CT,New Britain,Age-adjusted prevalence,"73,206"
16618,CT,New Haven,Age-adjusted prevalence,"129,779"
16747,LA,New Orleans,Age-adjusted prevalence,"343,829"
16839,NY,New Rochelle,Age-adjusted prevalence,"77,062"
17346,NY,New York,Age-adjusted prevalence,"8,175,133"
18986,NJ,Newark,Age-adjusted prevalence,"277,140"
19078,CA,Newport Beach,Age-adjusted prevalence,"85,186"
19101,VA,Newport News,Age-adjusted prevalence,"180,719"
19152,MA,Newton,Age-adjusted prevalence,"85,146"
19173,VA,Norfolk,Age-adjusted prevalence,"242,803"
19253,OK,Norman,Age-adjusted prevalence,"110,925"
19282,SC,North Charleston,Age-adjusted prevalence,"97,471"
19312,NV,North Las Vegas,Age-adjusted prevalence,"216,961"
19364,CA,Norwalk,Age-adjusted prevalence,"105,549"
19385,CT,Norwalk,Age-adjusted prevalence,"85,603"
19498,CA,Oakland,Age-adjusted prevalence,"390,724"
19530,CA,Oceanside,Age-adjusted prevalence,"167,086"
19583,TX,Odessa,Age-adjusted prevalence,"99,940"
19605,MO,O'Fallon,Age-adjusted prevalence,"79,329"
19612,UT,Ogden,Age-adjusted prevalence,"82,825"
19826,OK,Oklahoma City,Age-adjusted prevalence,"579,999"
19875,KS,Olathe,Age-adjusted prevalence,"125,872"
19970,NE,Omaha,Age-adjusted prevalence,"408,958"
20056,CA,Ontario,Age-adjusted prevalence,"163,924"
20095,CA,Orange,Age-adjusted prevalence,"136,416"
20116,UT,Orem,Age-adjusted prevalence,"88,328"
20158,FL,Orlando,Age-adjusted prevalence,"238,300"
20243,KS,Overland Park,Age-adjusted prevalence,"173,372"
20277,CA,Oxnard,Age-adjusted prevalence,"197,899"
20313,IL,Palatine,Age-adjusted prevalence,"68,557"
20333,FL,Palm Bay,Age-adjusted prevalence,"103,190"
20358,FL,Palm Coast,Age-adjusted prevalence,"75,180"
20399,CA,Palmdale,Age-adjusted prevalence,"152,750"
20425,OH,Parma,Age-adjusted prevalence,"81,601"
20469,CA,Pasadena,Age-adjusted prevalence,"137,122"
20494,TX,Pasadena,Age-adjusted prevalence,"149,043"
20509,NJ,Passaic,Age-adjusted prevalence,"69,781"
20550,NJ,Paterson,Age-adjusted prevalence,"146,199"
20573,RI,Pawtucket,Age-adjusted prevalence,"71,148"
20593,TX,Pearland,Age-adjusted prevalence,"91,252"
20618,FL,Pembroke Pines,Age-adjusted prevalence,"154,750"
20672,AZ,Peoria,Age-adjusted prevalence,"154,065"
20709,IL,Peoria,Age-adjusted prevalence,"115,007"
20728,CA,Perris,Age-adjusted prevalence,"68,386"
20742,TX,Pharr,Age-adjusted prevalence,"70,400"
20982,PA,Philadelphia,Age-adjusted prevalence,"1,526,006"
21430,AZ,Phoenix,Age-adjusted prevalence,"1,445,632"
21607,PA,Pittsburgh,Age-adjusted prevalence,"305,704"
21666,TX,Plano,Age-adjusted prevalence,"259,841"
21703,FL,Plantation,Age-adjusted prevalence,"84,955"
21709,CA,Pleasanton,Age-adjusted prevalence,"70,285"
21740,MN,Plymouth,Age-adjusted prevalence,"70,576"
21742,CA,Pomona,Age-adjusted prevalence,"149,058"
21794,FL,Pompano Beach,Age-adjusted prevalence,"99,845"
21820,FL,Port St. Lucie,Age-adjusted prevalence,"164,603"
21830,ME,Portland,Age-adjusted prevalence,"66,194"
21990,OR,Portland,Age-adjusted prevalence,"583,776"
22044,VA,Portsmouth,Age-adjusted prevalence,"95,535"
22075,RI,Providence,Age-adjusted prevalence,"178,042"
22114,UT,Provo,Age-adjusted prevalence,"112,488"
22126,CO,Pueblo,Age-adjusted prevalence,"106,595"
22161,MA,Quincy,Age-adjusted prevalence,"92,271"
22203,WI,Racine,Age-adjusted prevalence,"78,860"
22301,NC,Raleigh,Age-adjusted prevalence,"403,892"
22309,CA,Rancho Cucamonga,Age-adjusted prevalence,"165,269"
22349,SD,Rapid City,Age-adjusted prevalence,"67,956"
22374,PA,Reading,Age-adjusted prevalence,"88,082"
22408,CA,Redding,Age-adjusted prevalence,"89,861"
22432,CA,Redlands,Age-adjusted prevalence,"68,747"
22448,CA,Redondo Beach,Age-adjusted prevalence,"66,748"
22466,CA,Redwood City,Age-adjusted prevalence,"76,815"
22495,NV,Reno,Age-adjusted prevalence,"225,221"
22555,WA,Renton,Age-adjusted prevalence,"90,927"
22604,CA,Rialto,Age-adjusted prevalence,"99,171"
22610,TX,Richardson,Age-adjusted prevalence,"99,223"
22655,CA,Richmond,Age-adjusted prevalence,"103,701"
22722,VA,Richmond,Age-adjusted prevalence,"204,214"
22747,NM,Rio Rancho,Age-adjusted prevalence,"87,521"
22792,CA,Riverside,Age-adjusted prevalence,"303,871"
22849,VA,Roanoke,Age-adjusted prevalence,"97,032"
22881,MN,Rochester,Age-adjusted prevalence,"106,769"
22922,NY,Rochester,Age-adjusted prevalence,"210,565"
22991,MI,Rochester Hills,Age-adjusted prevalence,"70,995"
23013,SC,Rock Hill,Age-adjusted prevalence,"66,154"
23036,IL,Rockford,Age-adjusted prevalence,"152,871"
23105,CA,Roseville,Age-adjusted prevalence,"118,788"
23119,GA,Roswell,Age-adjusted prevalence,"88,346"
23146,TX,Round Rock,Age-adjusted prevalence,"99,887"
23213,CA,Sacramento,Age-adjusted prevalence,"466,488"
23282,OR,Salem,Age-adjusted prevalence,"154,637"
23350,CA,Salinas,Age-adjusted prevalence,"150,441"
23394,UT,Salt Lake City,Age-adjusted prevalence,"186,440"
23413,TX,San Angelo,Age-adjusted prevalence,"93,200"
23635,TX,San Antonio,Age-adjusted prevalence,"1,327,407"
23776,CA,San Bernardino,Age-adjusted prevalence,"209,924"
23849,CA,San Buenaventura (Ventura),Age-adjusted prevalence,"106,433"
23954,CA,San Diego,Age-adjusted prevalence,"1,307,402"
24299,CA,San Francisco,Age-adjusted prevalence,"805,235"
24553,CA,San Jose,Age-adjusted prevalence,"945,942"
24585,CA,San Leandro,Age-adjusted prevalence,"84,950"
24593,CA,San Marcos,Age-adjusted prevalence,"83,781"
24630,CA,San Mateo,Age-adjusted prevalence,"97,207"
24641,CA,San Ramon,Age-adjusted prevalence,"72,148"
24683,UT,Sandy,Age-adjusted prevalence,"87,461"
24697,GA,Sandy Springs,Age-adjusted prevalence,"93,853"
24746,CA,Santa Ana,Age-adjusted prevalence,"324,528"
24791,CA,Santa Barbara,Age-adjusted prevalence,"88,410"
24817,CA,Santa Clara,Age-adjusted prevalence,"116,468"
24835,CA,Santa Clarita,Age-adjusted prevalence,"176,320"
24907,NM,Santa Fe,Age-adjusted prevalence,"67,947"
24923,CA,Santa Maria,Age-adjusted prevalence,"99,553"
24951,CA,Santa Monica,Age-adjusted prevalence,"89,736"
24975,CA,Santa Rosa,Age-adjusted prevalence,"167,815"
25043,GA,Savannah,Age-adjusted prevalence,"136,286"
25077,IL,Schaumburg,Age-adjusted prevalence,"74,227"
25099,NY,Schenectady,Age-adjusted prevalence,"66,135"
25123,AZ,Scottsdale,Age-adjusted prevalence,"217,385"
25194,PA,Scranton,Age-adjusted prevalence,"76,089"
25215,WA,Seattle,Age-adjusted prevalence,"608,660"
25351,LA,Shreveport,Age-adjusted prevalence,"199,311"
25413,CA,Simi Valley,Age-adjusted prevalence,"124,237"
25449,IA,Sioux City,Age-adjusted prevalence,"82,684"
25471,SD,Sioux Falls,Age-adjusted prevalence,"153,888"
25499,MA,Somerville,Age-adjusted prevalence,"75,754"
25521,IN,South Bend,Age-adjusted prevalence,"101,168"
25569,CA,South Gate,Age-adjusted prevalence,"94,396"
25592,MI,Southfield,Age-adjusted prevalence,"71,739"
25625,NV,Sparks,Age-adjusted prevalence,"90,264"
25639,WA,Spokane,Age-adjusted prevalence,"208,916"
25701,WA,Spokane Valley,Age-adjusted prevalence,"89,755"
25738,AR,Springdale,Age-adjusted prevalence,"69,797"
25779,IL,Springfield,Age-adjusted prevalence,"116,250"
25823,MA,Springfield,Age-adjusted prevalence,"153,060"
25846,MO,Springfield,Age-adjusted prevalence,"159,498"
25883,UT,St. George,Age-adjusted prevalence,"72,897"
25919,MO,St. Joseph,Age-adjusted prevalence,"76,780"
25952,MO,St. Louis,Age-adjusted prevalence,"319,294"
26035,MN,St. Paul,Age-adjusted prevalence,"285,068"
26117,FL,St. Petersburg,Age-adjusted prevalence,"244,769"
26201,CT,Stamford,Age-adjusted prevalence,"122,643"
26219,MI,Sterling Heights,Age-adjusted prevalence,"129,699"
26259,CA,Stockton,Age-adjusted prevalence,"291,707"
26321,VA,Suffolk,Age-adjusted prevalence,"84,585"
26362,TX,Sugar Land,Age-adjusted prevalence,"78,817"
26376,CA,Sunnyvale,Age-adjusted prevalence,"140,081"
26410,FL,Sunrise,Age-adjusted prevalence,"84,439"
26448,AZ,Surprise,Age-adjusted prevalence,"117,517"
26499,NY,Syracuse,Age-adjusted prevalence,"145,170"
26527,WA,Tacoma,Age-adjusted prevalence,"198,397"
26617,FL,Tallahassee,Age-adjusted prevalence,"181,376"
26733,FL,Tampa,Age-adjusted prevalence,"335,709"
26749,CA,Temecula,Age-adjusted prevalence,"100,097"
26812,AZ,Tempe,Age-adjusted prevalence,"161,719"
26825,CO,Thornton,Age-adjusted prevalence,"118,772"
26856,CA,Thousand Oaks,Age-adjusted prevalence,"126,683"
26896,OH,Toledo,Age-adjusted prevalence,"287,208"
26989,KS,Topeka,Age-adjusted prevalence,"127,473"
27023,CA,Torrance,Age-adjusted prevalence,"145,438"
27068,CA,Tracy,Age-adjusted prevalence,"82,922"
27097,NJ,Trenton,Age-adjusted prevalence,"84,913"
27117,MI,Troy,Age-adjusted prevalence,"80,980"
27149,AZ,Tucson,Age-adjusted prevalence,"520,116"
27365,OK,Tulsa,Age-adjusted prevalence,"391,906"
27410,CA,Turlock,Age-adjusted prevalence,"68,549"
27460,AL,Tuscaloosa,Age-adjusted prevalence,"90,468"
27480,CA,Tustin,Age-adjusted prevalence,"75,540"
27502,TX,Tyler,Age-adjusted prevalence,"96,900"
27523,CA,Union City,Age-adjusted prevalence,"69,516"
27538,NJ,Union City,Age-adjusted prevalence,"66,455"
27571,CA,Upland,Age-adjusted prevalence,"73,732"
27590,CA,Vacaville,Age-adjusted prevalence,"92,428"
27620,CA,Vallejo,Age-adjusted prevalence,"115,942"
27683,WA,Vancouver,Age-adjusted prevalence,"161,791"
27706,CA,Victorville,Age-adjusted prevalence,"115,903"
