,States,City,Age-adj_preval,PopCountByMM
10656,GA,Columbus,Age-adjusted prevalence,"189,885"
10872,IL,Bolingbrook,Age-adjusted prevalence,"73,366"
10893,IL,Bloomington,Age-adjusted prevalence,"76,610"
11213,IL,Aurora,Age-adjusted prevalence,"197,899"
11292,IL,Arlington Heights,Age-adjusted prevalence,"75,101"
11458,IL,Chicago,Age-adjusted prevalence,"2,695,598"
11507,IL,Champaign,Age-adjusted prevalence,"81,055"
11602,IL,Palatine,Age-adjusted prevalence,"68,557"
11624,IL,Cicero,Age-adjusted prevalence,"83,891"
11639,IL,Elgin,Age-adjusted prevalence,"108,188"
11675,IL,Decatur,Age-adjusted prevalence,"76,122"
11685,IL,Peoria,Age-adjusted prevalence,"115,007"
11729,IL,Naperville,Age-adjusted prevalence,"141,853"
11763,IL,Evanston,Age-adjusted prevalence,"74,486"
11814,IL,Joliet,Age-adjusted prevalence,"147,433"
11989,IN,Indianapolis,Age-adjusted prevalence,"820,445"
12001,IN,Evansville,Age-adjusted prevalence,"117,429"
12023,IL,Waukegan,Age-adjusted prevalence,"89,078"
12054,IL,Rockford,Age-adjusted prevalence,"152,871"
12082,IL,Springfield,Age-adjusted prevalence,"116,250"
12225,IN,Fort Wayne,Age-adjusted prevalence,"253,691"
12247,IN,Gary,Age-adjusted prevalence,"80,294"
12257,IL,Schaumburg,Age-adjusted prevalence,"74,227"
12330,IN,Hammond,Age-adjusted prevalence,"80,830"
12335,IN,Fishers,Age-adjusted prevalence,"76,794"
12350,IN,Carmel,Age-adjusted prevalence,"79,191"
12432,IN,Bloomington,Age-adjusted prevalence,"80,405"
12445,IA,Davenport,Age-adjusted prevalence,"99,685"
12515,IN,Lafayette,Age-adjusted prevalence,"67,140"
12524,KS,Lawrence,Age-adjusted prevalence,"87,643"
12526,IA,Sioux City,Age-adjusted prevalence,"82,684"
12594,IN,South Bend,Age-adjusted prevalence,"101,168"
12652,IA,Iowa City,Age-adjusted prevalence,"67,862"
12711,IN,Muncie,Age-adjusted prevalence,"70,085"
12721,IA,Cedar Rapids,Age-adjusted prevalence,"126,326"
12771,KS,Topeka,Age-adjusted prevalence,"127,473"
12806,IA,Des Moines,Age-adjusted prevalence,"203,433"
12822,KS,Wichita,Age-adjusted prevalence,"382,368"
12897,IA,Waterloo,Age-adjusted prevalence,"68,406"
12920,KS,Overland Park,Age-adjusted prevalence,"173,372"
12983,KS,Olathe,Age-adjusted prevalence,"125,872"
13149,LA,Baton Rouge,Age-adjusted prevalence,"229,493"
13191,LA,New Orleans,Age-adjusted prevalence,"343,829"
13297,KY,Louisville,Age-adjusted prevalence,"597,337"
13430,LA,Lake Charles,Age-adjusted prevalence,"71,993"
13546,LA,Lafayette,Age-adjusted prevalence,"120,623"
13573,KY,Lexington,Age-adjusted prevalence,"295,803"
13654,LA,Kenner,Age-adjusted prevalence,"66,702"
13776,MA,Boston,Age-adjusted prevalence,"617,594"
13964,ME,Portland,Age-adjusted prevalence,"66,194"
13974,MA,Cambridge,Age-adjusted prevalence,"105,162"
14045,LA,Shreveport,Age-adjusted prevalence,"199,311"
14142,MA,Brockton,Age-adjusted prevalence,"93,810"
14180,MA,Fall River,Age-adjusted prevalence,"88,857"
14193,MD,Baltimore,Age-adjusted prevalence,"620,961"
14217,MA,Quincy,Age-adjusted prevalence,"92,271"
14243,MA,Worcester,Age-adjusted prevalence,"181,045"
14382,MI,Dearborn,Age-adjusted prevalence,"98,153"
14471,MA,Springfield,Age-adjusted prevalence,"153,060"
14594,MI,Ann Arbor,Age-adjusted prevalence,"113,934"
14634,MA,Lowell,Age-adjusted prevalence,"106,519"
14657,MA,Newton,Age-adjusted prevalence,"85,146"
14675,MA,Somerville,Age-adjusted prevalence,"75,754"
14722,MI,Detroit,Age-adjusted prevalence,"713,777"
14744,MA,Lawrence,Age-adjusted prevalence,"76,377"
14799,MA,Lynn,Age-adjusted prevalence,"90,329"
14817,MA,New Bedford,Age-adjusted prevalence,"95,072"
14870,MI,Livonia,Age-adjusted prevalence,"96,942"
14925,MI,Lansing,Age-adjusted prevalence,"114,297"
14929,MI,Kalamazoo,Age-adjusted prevalence,"74,262"
14970,MI,Sterling Heights,Age-adjusted prevalence,"129,699"
15000,MI,Southfield,Age-adjusted prevalence,"71,739"
15025,MI,Westland,Age-adjusted prevalence,"84,094"
15061,MI,Troy,Age-adjusted prevalence,"80,980"
15083,MI,Warren,Age-adjusted prevalence,"134,056"
15171,MN,Brooklyn Park,Age-adjusted prevalence,"75,781"
15177,MI,Wyoming,Age-adjusted prevalence,"72,125"
15294,MI,Grand Rapids,Age-adjusted prevalence,"188,040"
15298,MN,Bloomington,Age-adjusted prevalence,"82,893"
15336,MN,Duluth,Age-adjusted prevalence,"86,265"
15347,MN,Minneapolis,Age-adjusted prevalence,"382,578"
15354,MI,Rochester Hills,Age-adjusted prevalence,"70,995"
15384,MI,Farmington Hills,Age-adjusted prevalence,"79,740"
15422,MI,Flint,Age-adjusted prevalence,"102,434"
15461,MO,O'Fallon,Age-adjusted prevalence,"79,329"
15496,MO,Columbia,Age-adjusted prevalence,"108,500"
15688,MN,St. Paul,Age-adjusted prevalence,"285,068"
15789,MN,Rochester,Age-adjusted prevalence,"106,769"
15823,MN,Plymouth,Age-adjusted prevalence,"70,576"
15879,MO,St. Joseph,Age-adjusted prevalence,"76,780"
15885,MO,Independence,Age-adjusted prevalence,"116,830"
15921,MS,Jackson,Age-adjusted prevalence,"173,514"
15938,MS,Gulfport,Age-adjusted prevalence,"67,793"
15940,MO,Kansas City,Age-adjusted prevalence,"459,787"
15942,MO,Lee's Summit,Age-adjusted prevalence,"91,364"
16011,MO,Springfield,Age-adjusted prevalence,"159,498"
16190,MT,Billings,Age-adjusted prevalence,"104,170"
16218,NV,Las Vegas,Age-adjusted prevalence,"583,756"
16312,NV,Henderson,Age-adjusted prevalence,"257,729"
16430,MT,Missoula,Age-adjusted prevalence,"66,788"
16508,NE,Omaha,Age-adjusted prevalence,"408,958"
16587,MO,St. Louis,Age-adjusted prevalence,"319,294"
16605,NE,Lincoln,Age-adjusted prevalence,"258,379"
16612,NV,Reno,Age-adjusted prevalence,"225,221"
16720,NJ,Union City,Age-adjusted prevalence,"66,455"
16722,NV,Sparks,Age-adjusted prevalence,"90,264"
16725,NJ,Jersey City,Age-adjusted prevalence,"247,597"
16730,NH,Manchester,Age-adjusted prevalence,"109,565"
16819,NJ,Clifton,Age-adjusted prevalence,"84,136"
16831,NV,North Las Vegas,Age-adjusted prevalence,"216,961"
16872,NJ,Passaic,Age-adjusted prevalence,"69,781"
16882,NJ,Paterson,Age-adjusted prevalence,"146,199"
16900,NJ,Trenton,Age-adjusted prevalence,"84,913"
16910,NJ,Camden,Age-adjusted prevalence,"77,344"
17025,NJ,Elizabeth,Age-adjusted prevalence,"124,969"
17031,NJ,Newark,Age-adjusted prevalence,"277,140"
17129,NH,Nashua,Age-adjusted prevalence,"86,494"
17223,NM,Rio Rancho,Age-adjusted prevalence,"87,521"
17291,NM,Las Cruces,Age-adjusted prevalence,"97,618"
17299,NM,Albuquerque,Age-adjusted prevalence,"545,852"
17332,NY,Albany,Age-adjusted prevalence,"97,856"
17334,NM,Santa Fe,Age-adjusted prevalence,"67,947"
17384,NY,New Rochelle,Age-adjusted prevalence,"77,062"
17403,NY,Mount Vernon,Age-adjusted prevalence,"67,292"
17457,NY,Buffalo,Age-adjusted prevalence,"261,310"
19280,NY,New York,Age-adjusted prevalence,"8,175,133"
19650,NY,Yonkers,Age-adjusted prevalence,"195,976"
19702,NY,Schenectady,Age-adjusted prevalence,"66,135"
19817,NC,Asheville,Age-adjusted prevalence,"83,393"
19854,NC,Cary,Age-adjusted prevalence,"135,234"
19881,NC,Charlotte,Age-adjusted prevalence,"731,424"
19902,NY,Syracuse,Age-adjusted prevalence,"145,170"
19958,NY,Rochester,Age-adjusted prevalence,"210,565"
20232,NC,Raleigh,Age-adjusted prevalence,"403,892"
20308,NC,Greensboro,Age-adjusted prevalence,"269,666"
20435,NC,Winston-Salem,Age-adjusted prevalence,"229,617"
20441,NC,High Point,Age-adjusted prevalence,"104,371"
20450,NC,Concord,Age-adjusted prevalence,"79,066"
20492,NC,Greenville,Age-adjusted prevalence,"84,554"
20523,NC,Durham,Age-adjusted prevalence,"228,330"
20571,NC,Wilmington,Age-adjusted prevalence,"106,476"
20582,NC,Jacksonville,Age-adjusted prevalence,"70,145"
20616,NC,Fayetteville,Age-adjusted prevalence,"200,564"
20629,NC,Gastonia,Age-adjusted prevalence,"71,741"
20938,OH,Cincinnati,Age-adjusted prevalence,"296,943"
21004,ND,Fargo,Age-adjusted prevalence,"105,549"
21039,OH,Cleveland,Age-adjusted prevalence,"396,815"
21111,OH,Akron,Age-adjusted prevalence,"199,110"
21229,OH,Canton,Age-adjusted prevalence,"73,007"
21301,OH,Columbus,Age-adjusted prevalence,"787,033"
21392,OH,Toledo,Age-adjusted prevalence,"287,208"
21496,OH,Youngstown,Age-adjusted prevalence,"66,982"
21533,OK,Oklahoma City,Age-adjusted prevalence,"579,999"
21538,OK,Lawton,Age-adjusted prevalence,"96,867"
21645,OK,Broken Arrow,Age-adjusted prevalence,"98,850"
21691,OK,Norman,Age-adjusted prevalence,"110,925"
21786,OH,Dayton,Age-adjusted prevalence,"141,527"
21846,OK,Edmond,Age-adjusted prevalence,"81,405"
21965,OR,Salem,Age-adjusted prevalence,"154,637"
21968,OR,Eugene,Age-adjusted prevalence,"156,185"
22037,OR,Beaverton,Age-adjusted prevalence,"89,803"
22063,PA,Allentown,Age-adjusted prevalence,"118,032"
22089,OR,Gresham,Age-adjusted prevalence,"105,594"
22144,OK,Tulsa,Age-adjusted prevalence,"391,906"
22240,OR,Bend,Age-adjusted prevalence,"76,639"
22409,OR,Medford,Age-adjusted prevalence,"74,907"
22417,OR,Hillsboro,Age-adjusted prevalence,"91,611"
22452,OR,Portland,Age-adjusted prevalence,"583,776"
22493,PA,Erie,Age-adjusted prevalence,"101,786"
22733,PA,Pittsburgh,Age-adjusted prevalence,"305,704"
22781,PA,Bethlehem,Age-adjusted prevalence,"74,982"
22954,PA,Philadelphia,Age-adjusted prevalence,"1,526,006"
23106,SC,North Charleston,Age-adjusted prevalence,"97,471"
23111,TN,Knoxville,Age-adjusted prevalence,"178,874"
23117,RI,Providence,Age-adjusted prevalence,"178,042"
23122,RI,Warwick,Age-adjusted prevalence,"82,672"
23130,SD,Rapid City,Age-adjusted prevalence,"67,956"
23202,TN,Chattanooga,Age-adjusted prevalence,"167,674"
23215,PA,Scranton,Age-adjusted prevalence,"76,089"
23221,SC,Columbia,Age-adjusted prevalence,"129,272"
23321,PA,Reading,Age-adjusted prevalence,"88,082"
23364,RI,Cranston,Age-adjusted prevalence,"80,387"
23368,RI,Pawtucket,Age-adjusted prevalence,"71,148"
23407,SC,Mount Pleasant,Age-adjusted prevalence,"67,843"
23459,SC,Charleston,Age-adjusted prevalence,"120,083"
23518,TN,Clarksville,Age-adjusted prevalence,"132,929"
23585,SC,Rock Hill,Age-adjusted prevalence,"66,154"
23603,SD,Sioux Falls,Age-adjusted prevalence,"153,888"
23755,TN,Nashville,Age-adjusted prevalence,"601,222"
23905,TN,Murfreesboro,Age-adjusted prevalence,"108,755"
24015,TX,Allen,Age-adjusted prevalence,"84,246"
24040,TX,Amarillo,Age-adjusted prevalence,"190,695"
24162,TX,Arlington,Age-adjusted prevalence,"365,438"
24163,TN,Memphis,Age-adjusted prevalence,"646,889"
24168,TX,Abilene,Age-adjusted prevalence,"117,063"
24187,TX,Bryan,Age-adjusted prevalence,"76,201"
24308,TX,Baytown,Age-adjusted prevalence,"71,802"
24322,TX,Corpus Christi,Age-adjusted prevalence,"305,215"
24357,TX,Carrollton,Age-adjusted prevalence,"119,097"
24436,TX,College Station,Age-adjusted prevalence,"93,857"
24681,TX,Brownsville,Age-adjusted prevalence,"175,023"
24811,TX,Beaumont,Age-adjusted prevalence,"118,296"
24846,TX,Austin,Age-adjusted prevalence,"790,390"
25012,TX,El Paso,Age-adjusted prevalence,"649,121"
25018,TX,Fort Worth,Age-adjusted prevalence,"741,206"
25020,TX,Denton,Age-adjusted prevalence,"113,383"
25080,TX,Garland,Age-adjusted prevalence,"226,876"
25212,TX,Edinburg,Age-adjusted prevalence,"77,100"
25220,TX,Frisco,Age-adjusted prevalence,"116,989"
25704,TX,Grand Prairie,Age-adjusted prevalence,"175,396"
25774,TX,Houston,Age-adjusted prevalence,"2,099,451"
26075,TX,Lewisville,Age-adjusted prevalence,"95,290"
26083,TX,Pearland,Age-adjusted prevalence,"91,252"
26090,TX,McAllen,Age-adjusted prevalence,"129,877"
26230,TX,Killeen,Age-adjusted prevalence,"127,921"
26256,TX,McKinney,Age-adjusted prevalence,"131,117"
26267,TX,Missouri City,Age-adjusted prevalence,"67,358"
26283,TX,Irving,Age-adjusted prevalence,"216,290"
26335,TX,League City,Age-adjusted prevalence,"83,560"
26367,TX,Lubbock,Age-adjusted prevalence,"229,573"
26426,TX,Odessa,Age-adjusted prevalence,"99,940"
26432,TX,Mission,Age-adjusted prevalence,"77,058"
26472,TX,Mesquite,Age-adjusted prevalence,"139,824"
26519,TX,Midland,Age-adjusted prevalence,"111,147"
26541,TX,Pasadena,Age-adjusted prevalence,"149,043"
26545,TX,Laredo,Age-adjusted prevalence,"236,091"
26580,TX,Longview,Age-adjusted prevalence,"80,455"
26660,TX,Round Rock,Age-adjusted prevalence,"99,887"
26812,TX,Waco,Age-adjusted prevalence,"124,805"
26837,TX,Pharr,Age-adjusted prevalence,"70,400"
26864,TX,Plano,Age-adjusted prevalence,"259,841"
26876,TX,San Angelo,Age-adjusted prevalence,"93,200"
26906,TX,San Antonio,Age-adjusted prevalence,"1,327,407"
26921,TX,Sugar Land,Age-adjusted prevalence,"78,817"
27010,TX,Wichita Falls,Age-adjusted prevalence,"104,553"
27060,TX,Tyler,Age-adjusted prevalence,"96,900"
27076,TX,Richardson,Age-adjusted prevalence,"99,223"
27221,VA,Newport News,Age-adjusted prevalence,"180,719"
27227,UT,Sandy,Age-adjusted prevalence,"87,461"
27246,VA,Hampton,Age-adjusted prevalence,"137,436"
27276,UT,Provo,Age-adjusted prevalence,"112,488"
27320,VA,Portsmouth,Age-adjusted prevalence,"95,535"
27362,UT,Orem,Age-adjusted prevalence,"88,328"
27425,VA,Lynchburg,Age-adjusted prevalence,"75,568"
27499,UT,West Valley City,Age-adjusted prevalence,"129,480"
27515,VA,Norfolk,Age-adjusted prevalence,"242,803"
27528,UT,Layton,Age-adjusted prevalence,"67,311"
27570,VT,Burlington,Age-adjusted prevalence,"42,417"
