,States,City,Age-adj_preval,PopCountByMM
4522,CA,Merced,Age-adjusted prevalence,"78,958"
4556,CA,Menifee,Age-adjusted prevalence,"77,519"
4576,CA,Milpitas,Age-adjusted prevalence,"66,790"
4591,CA,Murrieta,Age-adjusted prevalence,"103,466"
4624,CA,Modesto,Age-adjusted prevalence,"201,165"
4633,CA,Moreno Valley,Age-adjusted prevalence,"193,365"
4634,CA,Newport Beach,Age-adjusted prevalence,"85,186"
4711,CA,Lynwood,Age-adjusted prevalence,"69,772"
4828,CA,Richmond,Age-adjusted prevalence,"103,701"
4858,CA,Redondo Beach,Age-adjusted prevalence,"66,748"
4907,CA,Pomona,Age-adjusted prevalence,"149,058"
4966,CA,Perris,Age-adjusted prevalence,"68,386"
4971,CA,Palmdale,Age-adjusted prevalence,"152,750"
4992,CA,Oceanside,Age-adjusted prevalence,"167,086"
5010,CA,Oxnard,Age-adjusted prevalence,"197,899"
5026,CA,Redwood City,Age-adjusted prevalence,"76,815"
5055,CA,Ontario,Age-adjusted prevalence,"163,924"
5056,CA,Redlands,Age-adjusted prevalence,"68,747"
5096,CA,Rialto,Age-adjusted prevalence,"99,171"
5158,CA,Orange,Age-adjusted prevalence,"136,416"
5170,CA,Redding,Age-adjusted prevalence,"89,861"
5175,CA,Oakland,Age-adjusted prevalence,"390,724"
5217,CA,Pasadena,Age-adjusted prevalence,"137,122"
5253,CA,Pleasanton,Age-adjusted prevalence,"70,285"
5266,CA,Rancho Cucamonga,Age-adjusted prevalence,"165,269"
5334,CA,Sacramento,Age-adjusted prevalence,"466,488"
5338,CA,San Diego,Age-adjusted prevalence,"1,307,402"
5509,CA,San Bernardino,Age-adjusted prevalence,"209,924"
5557,CA,Salinas,Age-adjusted prevalence,"150,441"
5663,CA,Riverside,Age-adjusted prevalence,"303,871"
5884,CA,Roseville,Age-adjusted prevalence,"118,788"
5942,CA,San Buenaventura (Ventura),Age-adjusted prevalence,"106,433"
6153,CA,San Mateo,Age-adjusted prevalence,"97,207"
6204,CA,San Leandro,Age-adjusted prevalence,"84,950"
6355,CA,San Ramon,Age-adjusted prevalence,"72,148"
6432,CA,San Marcos,Age-adjusted prevalence,"83,781"
6452,CA,San Jose,Age-adjusted prevalence,"945,942"
6458,CA,San Francisco,Age-adjusted prevalence,"805,235"
6481,CA,South Gate,Age-adjusted prevalence,"94,396"
6516,CA,Stockton,Age-adjusted prevalence,"291,707"
6525,CA,Simi Valley,Age-adjusted prevalence,"124,237"
6650,CA,Thousand Oaks,Age-adjusted prevalence,"126,683"
6669,CA,Santa Barbara,Age-adjusted prevalence,"88,410"
6693,CA,Tracy,Age-adjusted prevalence,"82,922"
6747,CA,Santa Maria,Age-adjusted prevalence,"99,553"
6764,CA,Torrance,Age-adjusted prevalence,"145,438"
6775,CA,Tustin,Age-adjusted prevalence,"75,540"
6799,CA,Santa Clarita,Age-adjusted prevalence,"176,320"
6804,CA,Santa Monica,Age-adjusted prevalence,"89,736"
6809,CA,Union City,Age-adjusted prevalence,"69,516"
6841,CA,Vacaville,Age-adjusted prevalence,"92,428"
6877,CA,Santa Rosa,Age-adjusted prevalence,"167,815"
6892,CA,Upland,Age-adjusted prevalence,"73,732"
6901,CA,Sunnyvale,Age-adjusted prevalence,"140,081"
6921,CA,Turlock,Age-adjusted prevalence,"68,549"
6943,CA,Santa Clara,Age-adjusted prevalence,"116,468"
6993,CA,Santa Ana,Age-adjusted prevalence,"324,528"
7074,CA,Temecula,Age-adjusted prevalence,"100,097"
7371,CA,Victorville,Age-adjusted prevalence,"115,903"
7381,CA,Vallejo,Age-adjusted prevalence,"115,942"
7407,CO,Aurora,Age-adjusted prevalence,"325,078"
7415,CO,Centennial,Age-adjusted prevalence,"100,377"
7423,CA,Westminster,Age-adjusted prevalence,"89,701"
7443,CO,Boulder,Age-adjusted prevalence,"97,385"
7453,CO,Arvada,Age-adjusted prevalence,"106,433"
7531,CO,Colorado Springs,Age-adjusted prevalence,"416,427"
7598,CA,Visalia,Age-adjusted prevalence,"124,442"
7667,CA,West Covina,Age-adjusted prevalence,"106,098"
7676,CA,Vista,Age-adjusted prevalence,"93,834"
7705,CO,Denver,Age-adjusted prevalence,"600,158"
7729,CA,Whittier,Age-adjusted prevalence,"85,331"
7752,CT,Bridgeport,Age-adjusted prevalence,"144,229"
7831,CO,Longmont,Age-adjusted prevalence,"86,270"
7834,CT,Danbury,Age-adjusted prevalence,"80,893"
7882,CT,Waterbury,Age-adjusted prevalence,"110,366"
7900,CO,Westminster,Age-adjusted prevalence,"106,114"
7908,CT,Hartford,Age-adjusted prevalence,"124,775"
7935,CT,New Haven,Age-adjusted prevalence,"129,779"
7945,CO,Lakewood,Age-adjusted prevalence,"142,980"
7999,CO,Thornton,Age-adjusted prevalence,"118,772"
8003,CO,Pueblo,Age-adjusted prevalence,"106,595"
8040,CT,Stamford,Age-adjusted prevalence,"122,643"
8044,CT,Norwalk,Age-adjusted prevalence,"85,603"
8059,CT,New Britain,Age-adjusted prevalence,"73,206"
8109,CO,Fort Collins,Age-adjusted prevalence,"143,986"
8179,CO,Greeley,Age-adjusted prevalence,"92,889"
8198,DE,Wilmington,Age-adjusted prevalence,"70,851"
8233,CO,Loveland,Age-adjusted prevalence,"66,859"
8318,FL,Gainesville,Age-adjusted prevalence,"124,354"
8355,FL,Deerfield Beach,Age-adjusted prevalence,"75,018"
8414,FL,Davie,Age-adjusted prevalence,"91,992"
8494,DC,Washington,Age-adjusted prevalence,"601,723"
8582,FL,Fort Lauderdale,Age-adjusted prevalence,"165,521"
8657,FL,Boynton Beach,Age-adjusted prevalence,"68,217"
8724,FL,Boca Raton,Age-adjusted prevalence,"84,392"
8738,FL,Cape Coral,Age-adjusted prevalence,"154,305"
8772,FL,Clearwater,Age-adjusted prevalence,"107,685"
8816,FL,Hollywood,Age-adjusted prevalence,"140,768"
8818,FL,Coral Springs,Age-adjusted prevalence,"121,096"
8825,FL,Hialeah,Age-adjusted prevalence,"224,669"
8827,FL,Deltona,Age-adjusted prevalence,"85,182"
8853,FL,Lauderhill,Age-adjusted prevalence,"66,887"
8884,FL,Miami,Age-adjusted prevalence,"399,457"
8949,FL,Largo,Age-adjusted prevalence,"77,648"
8956,FL,Miami Gardens,Age-adjusted prevalence,"107,167"
8982,FL,Lakeland,Age-adjusted prevalence,"97,422"
9068,FL,Orlando,Age-adjusted prevalence,"238,300"
9154,FL,Miramar,Age-adjusted prevalence,"122,041"
9157,FL,Palm Coast,Age-adjusted prevalence,"75,180"
9197,FL,Miami Beach,Age-adjusted prevalence,"87,779"
9216,FL,Jacksonville,Age-adjusted prevalence,"821,784"
9302,FL,Melbourne,Age-adjusted prevalence,"76,068"
9372,FL,Palm Bay,Age-adjusted prevalence,"103,190"
9446,GA,Atlanta,Age-adjusted prevalence,"420,003"
9460,FL,Tallahassee,Age-adjusted prevalence,"181,376"
9543,FL,Sunrise,Age-adjusted prevalence,"84,439"
9561,FL,Tampa,Age-adjusted prevalence,"335,709"
9593,FL,Plantation,Age-adjusted prevalence,"84,955"
9603,GA,Athens,Age-adjusted prevalence,"115,452"
9808,GA,Albany,Age-adjusted prevalence,"77,434"
9854,FL,St. Petersburg,Age-adjusted prevalence,"244,769"
9885,FL,Pompano Beach,Age-adjusted prevalence,"99,845"
9953,FL,Port St. Lucie,Age-adjusted prevalence,"164,603"
9962,FL,Pembroke Pines,Age-adjusted prevalence,"154,750"
10024,FL,West Palm Beach,Age-adjusted prevalence,"99,919"
10070,GA,Savannah,Age-adjusted prevalence,"136,286"
10126,GA,Columbus,Age-adjusted prevalence,"189,885"
10190,HI,Honolulu,Age-adjusted prevalence,"953,207"
10228,GA,Johns Creek,Age-adjusted prevalence,"76,728"
10230,GA,Sandy Springs,Age-adjusted prevalence,"93,853"
10270,ID,Boise City,Age-adjusted prevalence,"205,671"
10323,GA,Roswell,Age-adjusted prevalence,"88,346"
10492,GA,Macon,Age-adjusted prevalence,"91,351"
10538,GA,Augusta,Age-adjusted prevalence,"195,844"
10572,GA,Warner Robins,Age-adjusted prevalence,"66,588"
10603,ID,Meridian,Age-adjusted prevalence,"75,092"
10616,ID,Nampa,Age-adjusted prevalence,"81,557"
10648,IL,Champaign,Age-adjusted prevalence,"81,055"
10728,IL,Bloomington,Age-adjusted prevalence,"76,610"
10738,IL,Bolingbrook,Age-adjusted prevalence,"73,366"
10740,IL,Aurora,Age-adjusted prevalence,"197,899"
10772,IL,Arlington Heights,Age-adjusted prevalence,"75,101"
10876,IL,Evanston,Age-adjusted prevalence,"74,486"
11033,IL,Elgin,Age-adjusted prevalence,"108,188"
11211,IL,Decatur,Age-adjusted prevalence,"76,122"
11212,IL,Chicago,Age-adjusted prevalence,"2,695,598"
11313,IL,Joliet,Age-adjusted prevalence,"147,433"
11351,IL,Peoria,Age-adjusted prevalence,"115,007"
11404,IL,Naperville,Age-adjusted prevalence,"141,853"
11450,IL,Cicero,Age-adjusted prevalence,"83,891"
11764,IL,Palatine,Age-adjusted prevalence,"68,557"
11885,IL,Waukegan,Age-adjusted prevalence,"89,078"
11943,IN,Gary,Age-adjusted prevalence,"80,294"
11958,IN,Carmel,Age-adjusted prevalence,"79,191"
11967,IN,Fishers,Age-adjusted prevalence,"76,794"
11972,IL,Springfield,Age-adjusted prevalence,"116,250"
12097,IN,Indianapolis,Age-adjusted prevalence,"820,445"
12137,IN,Hammond,Age-adjusted prevalence,"80,830"
12157,IN,Fort Wayne,Age-adjusted prevalence,"253,691"
12207,IL,Rockford,Age-adjusted prevalence,"152,871"
12366,IL,Schaumburg,Age-adjusted prevalence,"74,227"
12405,IN,Bloomington,Age-adjusted prevalence,"80,405"
12425,IN,Evansville,Age-adjusted prevalence,"117,429"
12439,IN,Muncie,Age-adjusted prevalence,"70,085"
12456,IA,Sioux City,Age-adjusted prevalence,"82,684"
12467,IA,Iowa City,Age-adjusted prevalence,"67,862"
12493,IA,Davenport,Age-adjusted prevalence,"99,685"
12509,IA,Waterloo,Age-adjusted prevalence,"68,406"
12536,IN,Lafayette,Age-adjusted prevalence,"67,140"
12559,KS,Olathe,Age-adjusted prevalence,"125,872"
12564,KS,Topeka,Age-adjusted prevalence,"127,473"
12680,IN,South Bend,Age-adjusted prevalence,"101,168"
12739,KS,Overland Park,Age-adjusted prevalence,"173,372"
12759,IA,Cedar Rapids,Age-adjusted prevalence,"126,326"
12792,IA,Des Moines,Age-adjusted prevalence,"203,433"
12839,KS,Lawrence,Age-adjusted prevalence,"87,643"
12899,KS,Kansas City,Age-adjusted prevalence,"145,786"
12988,KY,Louisville,Age-adjusted prevalence,"597,337"
13053,LA,Kenner,Age-adjusted prevalence,"66,702"
13208,KS,Wichita,Age-adjusted prevalence,"382,368"
13252,LA,Lake Charles,Age-adjusted prevalence,"71,993"
13335,LA,Lafayette,Age-adjusted prevalence,"120,623"
13450,KY,Lexington,Age-adjusted prevalence,"295,803"
13618,LA,New Orleans,Age-adjusted prevalence,"343,829"
13646,LA,Baton Rouge,Age-adjusted prevalence,"229,493"
13846,MA,Boston,Age-adjusted prevalence,"617,594"
13882,ME,Portland,Age-adjusted prevalence,"66,194"
13931,MA,Brockton,Age-adjusted prevalence,"93,810"
14005,MA,Cambridge,Age-adjusted prevalence,"105,162"
14056,MD,Baltimore,Age-adjusted prevalence,"620,961"
14087,LA,Shreveport,Age-adjusted prevalence,"199,311"
14185,MA,Somerville,Age-adjusted prevalence,"75,754"
14230,MA,Newton,Age-adjusted prevalence,"85,146"
14233,MI,Dearborn,Age-adjusted prevalence,"98,153"
14300,MA,Lowell,Age-adjusted prevalence,"106,519"
14367,MA,Worcester,Age-adjusted prevalence,"181,045"
14546,MA,Lawrence,Age-adjusted prevalence,"76,377"
14552,MA,New Bedford,Age-adjusted prevalence,"95,072"
14637,MI,Ann Arbor,Age-adjusted prevalence,"113,934"
14691,MA,Fall River,Age-adjusted prevalence,"88,857"
14729,MA,Lynn,Age-adjusted prevalence,"90,329"
14730,MI,Detroit,Age-adjusted prevalence,"713,777"
14781,MA,Quincy,Age-adjusted prevalence,"92,271"
14806,MA,Springfield,Age-adjusted prevalence,"153,060"
14855,MN,Duluth,Age-adjusted prevalence,"86,265"
14941,MI,Grand Rapids,Age-adjusted prevalence,"188,040"
14947,MI,Wyoming,Age-adjusted prevalence,"72,125"
14953,MN,Bloomington,Age-adjusted prevalence,"82,893"
14959,MI,Kalamazoo,Age-adjusted prevalence,"74,262"
14977,MI,Rochester Hills,Age-adjusted prevalence,"70,995"
15082,MI,Lansing,Age-adjusted prevalence,"114,297"
15111,MI,Southfield,Age-adjusted prevalence,"71,739"
15114,MN,Brooklyn Park,Age-adjusted prevalence,"75,781"
15127,MI,Sterling Heights,Age-adjusted prevalence,"129,699"
15141,MI,Warren,Age-adjusted prevalence,"134,056"
15238,MI,Flint,Age-adjusted prevalence,"102,434"
15282,MI,Farmington Hills,Age-adjusted prevalence,"79,740"
15297,MI,Troy,Age-adjusted prevalence,"80,980"
15306,MI,Livonia,Age-adjusted prevalence,"96,942"
15307,MI,Westland,Age-adjusted prevalence,"84,094"
15337,MO,O'Fallon,Age-adjusted prevalence,"79,329"
15343,MS,Gulfport,Age-adjusted prevalence,"67,793"
15360,MO,Columbia,Age-adjusted prevalence,"108,500"
15375,MO,Lee's Summit,Age-adjusted prevalence,"91,364"
15389,MN,Plymouth,Age-adjusted prevalence,"70,576"
15410,MS,Jackson,Age-adjusted prevalence,"173,514"
15433,MN,Rochester,Age-adjusted prevalence,"106,769"
15442,MO,Independence,Age-adjusted prevalence,"116,830"
15765,MN,St. Paul,Age-adjusted prevalence,"285,068"
15865,MN,Minneapolis,Age-adjusted prevalence,"382,578"
15871,MO,St. Joseph,Age-adjusted prevalence,"76,780"
15901,MO,Kansas City,Age-adjusted prevalence,"459,787"
16007,MT,Missoula,Age-adjusted prevalence,"66,788"
16023,MO,Springfield,Age-adjusted prevalence,"159,498"
16148,NE,Lincoln,Age-adjusted prevalence,"258,379"
16156,NV,Las Vegas,Age-adjusted prevalence,"583,756"
16185,NV,Henderson,Age-adjusted prevalence,"257,729"
16327,MO,St. Louis,Age-adjusted prevalence,"319,294"
16415,MT,Billings,Age-adjusted prevalence,"104,170"
16581,NE,Omaha,Age-adjusted prevalence,"408,958"
16617,NJ,Jersey City,Age-adjusted prevalence,"247,597"
16699,NV,Reno,Age-adjusted prevalence,"225,221"
16708,NJ,Newark,Age-adjusted prevalence,"277,140"
16816,NJ,Paterson,Age-adjusted prevalence,"146,199"
16839,NV,North Las Vegas,Age-adjusted prevalence,"216,961"
16965,NV,Sparks,Age-adjusted prevalence,"90,264"
16981,NH,Manchester,Age-adjusted prevalence,"109,565"
17034,NJ,Clifton,Age-adjusted prevalence,"84,136"
17054,NJ,Elizabeth,Age-adjusted prevalence,"124,969"
17071,NJ,Union City,Age-adjusted prevalence,"66,455"
17072,NJ,Trenton,Age-adjusted prevalence,"84,913"
17096,NJ,Camden,Age-adjusted prevalence,"77,344"
17113,NJ,Passaic,Age-adjusted prevalence,"69,781"
17122,NH,Nashua,Age-adjusted prevalence,"86,494"
17213,NM,Las Cruces,Age-adjusted prevalence,"97,618"
17217,NM,Albuquerque,Age-adjusted prevalence,"545,852"
17327,NY,Mount Vernon,Age-adjusted prevalence,"67,292"
17425,NM,Santa Fe,Age-adjusted prevalence,"67,947"
17428,NM,Rio Rancho,Age-adjusted prevalence,"87,521"
17430,NY,Albany,Age-adjusted prevalence,"97,856"
17481,NY,New Rochelle,Age-adjusted prevalence,"77,062"
17489,NY,Buffalo,Age-adjusted prevalence,"261,310"
19165,NY,New York,Age-adjusted prevalence,"8,175,133"
19762,NY,Yonkers,Age-adjusted prevalence,"195,976"
19766,NY,Syracuse,Age-adjusted prevalence,"145,170"
19779,NC,Asheville,Age-adjusted prevalence,"83,393"
19819,NY,Rochester,Age-adjusted prevalence,"210,565"
19889,NC,Charlotte,Age-adjusted prevalence,"731,424"
19950,NY,Schenectady,Age-adjusted prevalence,"66,135"
19984,NC,Cary,Age-adjusted prevalence,"135,234"
20252,NC,Greensboro,Age-adjusted prevalence,"269,666"
20322,NC,Greenville,Age-adjusted prevalence,"84,554"
20430,NC,Wilmington,Age-adjusted prevalence,"106,476"
20446,NC,Winston-Salem,Age-adjusted prevalence,"229,617"
20457,NC,Raleigh,Age-adjusted prevalence,"403,892"
20465,NC,High Point,Age-adjusted prevalence,"104,371"
20500,NC,Fayetteville,Age-adjusted prevalence,"200,564"
20509,NC,Gastonia,Age-adjusted prevalence,"71,741"
20593,NC,Jacksonville,Age-adjusted prevalence,"70,145"
20642,NC,Durham,Age-adjusted prevalence,"228,330"
20663,NC,Concord,Age-adjusted prevalence,"79,066"
20741,OH,Cincinnati,Age-adjusted prevalence,"296,943"
20868,ND,Fargo,Age-adjusted prevalence,"105,549"
20903,OH,Cleveland,Age-adjusted prevalence,"396,815"
20930,OH,Akron,Age-adjusted prevalence,"199,110"
20959,OH,Columbus,Age-adjusted prevalence,"787,033"
21051,OH,Canton,Age-adjusted prevalence,"73,007"
21346,OH,Youngstown,Age-adjusted prevalence,"66,982"
21347,OK,Norman,Age-adjusted prevalence,"110,925"
21352,OK,Lawton,Age-adjusted prevalence,"96,867"
21435,OH,Dayton,Age-adjusted prevalence,"141,527"
21464,OK,Broken Arrow,Age-adjusted prevalence,"98,850"
21472,OK,Edmond,Age-adjusted prevalence,"81,405"
21495,OH,Toledo,Age-adjusted prevalence,"287,208"
21835,OH,Parma,Age-adjusted prevalence,"81,601"
21865,OK,Oklahoma City,Age-adjusted prevalence,"579,999"
21970,OR,Beaverton,Age-adjusted prevalence,"89,803"
22052,OR,Hillsboro,Age-adjusted prevalence,"91,611"
22055,OR,Portland,Age-adjusted prevalence,"583,776"
22083,OR,Medford,Age-adjusted prevalence,"74,907"
22085,OR,Gresham,Age-adjusted prevalence,"105,594"
22108,OR,Bend,Age-adjusted prevalence,"76,639"
22226,OR,Salem,Age-adjusted prevalence,"154,637"
22288,OK,Tulsa,Age-adjusted prevalence,"391,906"
22347,OR,Eugene,Age-adjusted prevalence,"156,185"
22529,PA,Erie,Age-adjusted prevalence,"101,786"
22865,PA,Pittsburgh,Age-adjusted prevalence,"305,704"
22872,PA,Allentown,Age-adjusted prevalence,"118,032"
22894,PA,Philadelphia,Age-adjusted prevalence,"1,526,006"
23086,SD,Rapid City,Age-adjusted prevalence,"67,956"
23088,SC,North Charleston,Age-adjusted prevalence,"97,471"
23184,SC,Mount Pleasant,Age-adjusted prevalence,"67,843"
23215,TN,Chattanooga,Age-adjusted prevalence,"167,674"
23216,SC,Charleston,Age-adjusted prevalence,"120,083"
23325,SC,Rock Hill,Age-adjusted prevalence,"66,154"
23333,PA,Reading,Age-adjusted prevalence,"88,082"
23365,RI,Cranston,Age-adjusted prevalence,"80,387"
23402,RI,Warwick,Age-adjusted prevalence,"82,672"
23422,TN,Knoxville,Age-adjusted prevalence,"178,874"
23435,PA,Scranton,Age-adjusted prevalence,"76,089"
23473,SD,Sioux Falls,Age-adjusted prevalence,"153,888"
23511,SC,Columbia,Age-adjusted prevalence,"129,272"
23577,TN,Clarksville,Age-adjusted prevalence,"132,929"
23589,RI,Providence,Age-adjusted prevalence,"178,042"
23622,RI,Pawtucket,Age-adjusted prevalence,"71,148"
23712,TN,Murfreesboro,Age-adjusted prevalence,"108,755"
23834,TX,Amarillo,Age-adjusted prevalence,"190,695"
23835,TN,Nashville,Age-adjusted prevalence,"601,222"
23853,TX,Arlington,Age-adjusted prevalence,"365,438"
23888,TX,Allen,Age-adjusted prevalence,"84,246"
24016,TX,Abilene,Age-adjusted prevalence,"117,063"
24172,TN,Memphis,Age-adjusted prevalence,"646,889"
24202,TX,Bryan,Age-adjusted prevalence,"76,201"
24232,TX,Baytown,Age-adjusted prevalence,"71,802"
24328,TX,College Station,Age-adjusted prevalence,"93,857"
24359,TX,Brownsville,Age-adjusted prevalence,"175,023"
24422,TX,Carrollton,Age-adjusted prevalence,"119,097"
24438,TX,Austin,Age-adjusted prevalence,"790,390"
24502,TX,Beaumont,Age-adjusted prevalence,"118,296"
24604,TX,Corpus Christi,Age-adjusted prevalence,"305,215"
24846,TX,Edinburg,Age-adjusted prevalence,"77,100"
24991,TX,El Paso,Age-adjusted prevalence,"649,121"
25021,TX,Fort Worth,Age-adjusted prevalence,"741,206"
25051,TX,Dallas,Age-adjusted prevalence,"1,197,816"
25150,TX,Denton,Age-adjusted prevalence,"113,383"
25277,TX,Frisco,Age-adjusted prevalence,"116,989"
25573,TX,Houston,Age-adjusted prevalence,"2,099,451"
25900,TX,Grand Prairie,Age-adjusted prevalence,"175,396"
25918,TX,Garland,Age-adjusted prevalence,"226,876"
26067,TX,Midland,Age-adjusted prevalence,"111,147"
26096,TX,Missouri City,Age-adjusted prevalence,"67,358"
26165,TX,Killeen,Age-adjusted prevalence,"127,921"
26169,TX,McKinney,Age-adjusted prevalence,"131,117"
26208,TX,Mission,Age-adjusted prevalence,"77,058"
26219,TX,League City,Age-adjusted prevalence,"83,560"
26245,TX,Laredo,Age-adjusted prevalence,"236,091"
26249,TX,Mesquite,Age-adjusted prevalence,"139,824"
26325,TX,Odessa,Age-adjusted prevalence,"99,940"
26326,TX,Pasadena,Age-adjusted prevalence,"149,043"
26385,TX,Pearland,Age-adjusted prevalence,"91,252"
26414,TX,Longview,Age-adjusted prevalence,"80,455"
26453,TX,Lewisville,Age-adjusted prevalence,"95,290"
26550,TX,Lubbock,Age-adjusted prevalence,"229,573"
26560,TX,Irving,Age-adjusted prevalence,"216,290"
26573,TX,McAllen,Age-adjusted prevalence,"129,877"
26601,TX,San Angelo,Age-adjusted prevalence,"93,200"
26648,TX,Tyler,Age-adjusted prevalence,"96,900"
26767,TX,Round Rock,Age-adjusted prevalence,"99,887"
26807,TX,Plano,Age-adjusted prevalence,"259,841"
26954,TX,Sugar Land,Age-adjusted prevalence,"78,817"
27015,TX,Richardson,Age-adjusted prevalence,"99,223"
27080,TX,San Antonio,Age-adjusted prevalence,"1,327,407"
27082,TX,Waco,Age-adjusted prevalence,"124,805"
27116,TX,Pharr,Age-adjusted prevalence,"70,400"
27120,TX,Wichita Falls,Age-adjusted prevalence,"104,553"
27179,UT,Salt Lake City,Age-adjusted prevalence,"186,440"
27189,UT,Orem,Age-adjusted prevalence,"88,328"
27210,UT,St. George,Age-adjusted prevalence,"72,897"
27237,UT,Layton,Age-adjusted prevalence,"67,311"
27311,UT,Ogden,Age-adjusted prevalence,"82,825"
27373,VT,Burlington,Age-adjusted prevalence,"42,417"
27401,UT,West Jordan,Age-adjusted prevalence,"103,712"
27424,VA,Newport News,Age-adjusted prevalence,"180,719"
27439,UT,West Valley City,Age-adjusted prevalence,"129,480"
27503,VA,Norfolk,Age-adjusted prevalence,"242,803"
27556,UT,Sandy,Age-adjusted prevalence,"87,461"
27588,VA,Portsmouth,Age-adjusted prevalence,"95,535"
